week,words,frequency,total_words
4,black,1117.0,9056971
4,conflict,113.0,9056971
4,bleach,302.0,9056971
4,armor,31.0,9056971
4,besieg,5.0,9056971
4,artilleri,9.0,9056971
4,overcount,,9056971
4,conquest,8.0,9056971
4,disarma,,9056971
4,invas,90.0,9056971
4,arsenal,17.0,9056971
4,fire,1884.0,9056971
4,gunfight,1.0,9056971
4,frontlin,713.0,9056971
4,liber,615.0,9056971
4,africa,3432.0,9056971
4,militari,6276.0,9056971
4,escal,171.0,9056971
4,crusad,25.0,9056971
4,grenad,,9056971
4,overblown,59.0,9056971
4,armament,,9056971
4,battl,1552.0,9056971
4,won,,9056971
4,destruct,435.0,9056971
4,flank,1.0,9056971
4,enemi,844.0,9056971
4,trench,8.0,9056971
4,crossfir,1.0,9056971
4,arm,970.0,9056971
4,bomb,1662.0,9056971
4,fortifi,4.0,9056971
4,salvo,,9056971
4,truce,7.0,9056971
4,retreat,91.0,9056971
4,alli,315.0,9056971
4,fought,39.0,9056971
4,insurg,5.0,9056971
4,mandatori,434.0,9056971
4,unitedfront,,9056971
4,win,675.0,9056971
4,defend,311.0,9056971
4,defens,1367.0,9056971
4,sieg,29.0,9056971
4,battleground,14.0,9056971
4,gun,4382.0,9056971
4,dioxid,326.0,9056971
4,peac,394.0,9056971
4,attack,3463.0,9056971
4,soldier,541.0,9056971
4,combat,1878.0,9056971
4,violenc,236.0,9056971
4,battleplan,,9056971
4,foe,18.0,9056971
4,fight,7973.0,9056971
4,troop,232.0,9056971
4,front,2284.0,9056971
4,bloodsh,1.0,9056971
4,allianc,23.0,9056971
4,microchip,195.0,9056971
4,flu,15576.0,9056971
4,invad,103.0,9056971
4,hostil,92.0,9056971
4,gate,1832.0,9056971
4,die,21376.0,9056971
4,unreport,18.0,9056971
4,defeat,298.0,9056971
4,rebellion,30.0,9056971
4,command,261.0,9056971
4,strategi,766.0,9056971
4,homeland,2564.0,9056971
4,casualti,251.0,9056971
4,armi,612.0,9056971
4,chip,,9056971
4,african,883.0,9056971
4,treati,10.0,9056971
4,warrior,42.0,9056971
4,beat,749.0,9056971
4,electromagnet,24.0,9056971
4,lab,23331.0,9056971
4,shoot,719.0,9056971
4,riot,458.0,9056971
4,guard,390.0,9056971
4,conquer,16.0,9056971
4,tactic,182.0,9056971
4,5g,953.0,9056971
4,resist,572.0,9056971
4,guerrilla,,9056971
4,peacetim,1.0,9056971
4,raider,4.0,9056971
4,threat,4383.0,9056971
4,ammunit,47.0,9056971
4,weapon,5588.0,9056971
4,warfar,1378.0,9056971
4,tank,363.0,9056971
4,implant,30.0,9056971
4,minefield,2.0,9056971
4,warzon,,9056971
4,battlefield,15.0,9056971
4,victori,95.0,9056971
4,bombard,9.0,9056971
4,antibiot,1447.0,9056971
4,killer,1175.0,9056971
4,upris,98.0,9056971
4,wartim,652.0,9056971
4,holocaust,31.0,9056971
4,vanquish,,9056971
4,battlefront,,9056971
4,target,1397.0,9056971
4,radiat,150.0,9056971
4,melanin,,9056971
4,death,32927.0,9056971
4,homefront,,9056971
4,hoax,434.0,9056971
4,chlorin,211.0,9056971
4,kill,13222.0,9056971
4,blitzkrieg,,9056971
4,poc,2.0,9056971
4,campaign,1175.0,9056971
4,struggl,1244.0,9056971
4,captur,358.0,9056971
4,war,1602.0,9056971
4,ceasefir,23.0,9056971
4,fighter,150.0,9056971
