week,words,frequency,total_words
44,black,5458.0,17232251
44,conflict,269.0,17232251
44,bleach,232.0,17232251
44,armor,30.0,17232251
44,besieg,3.0,17232251
44,artilleri,2.0,17232251
44,overcount,3.0,17232251
44,conquest,4.0,17232251
44,disarma,1.0,17232251
44,invas,76.0,17232251
44,arsenal,23.0,17232251
44,fire,3655.0,17232251
44,gunfight,,17232251
44,frontlin,3575.0,17232251
44,liber,1203.0,17232251
44,africa,414.0,17232251
44,militari,2783.0,17232251
44,escal,257.0,17232251
44,crusad,22.0,17232251
44,grenad,33.0,17232251
44,overblown,75.0,17232251
44,armament,,17232251
44,battl,3952.0,17232251
44,won,,17232251
44,destruct,467.0,17232251
44,flank,3.0,17232251
44,enemi,621.0,17232251
44,trench,41.0,17232251
44,crossfir,2.0,17232251
44,arm,692.0,17232251
44,bomb,169.0,17232251
44,fortifi,6.0,17232251
44,salvo,,17232251
44,truce,5.0,17232251
44,retreat,128.0,17232251
44,alli,338.0,17232251
44,fought,618.0,17232251
44,insurg,10.0,17232251
44,mandatori,1131.0,17232251
44,unitedfront,3.0,17232251
44,win,7305.0,17232251
44,defend,698.0,17232251
44,defens,1560.0,17232251
44,sieg,102.0,17232251
44,battleground,13.0,17232251
44,gun,1462.0,17232251
44,dioxid,51.0,17232251
44,peac,1472.0,17232251
44,attack,3613.0,17232251
44,soldier,711.0,17232251
44,combat,2889.0,17232251
44,violenc,2370.0,17232251
44,battleplan,,17232251
44,foe,31.0,17232251
44,fight,25692.0,17232251
44,troop,1417.0,17232251
44,front,7037.0,17232251
44,bloodsh,4.0,17232251
44,allianc,161.0,17232251
44,microchip,581.0,17232251
44,flu,8986.0,17232251
44,invad,223.0,17232251
44,hostil,66.0,17232251
44,gate,829.0,17232251
44,die,72086.0,17232251
44,unreport,32.0,17232251
44,defeat,1228.0,17232251
44,rebellion,174.0,17232251
44,command,653.0,17232251
44,strategi,2620.0,17232251
44,homeland,108.0,17232251
44,casualti,420.0,17232251
44,armi,1116.0,17232251
44,chip,,17232251
44,african,300.0,17232251
44,treati,120.0,17232251
44,warrior,292.0,17232251
44,beat,2027.0,17232251
44,electromagnet,3.0,17232251
44,lab,1482.0,17232251
44,shoot,967.0,17232251
44,riot,416.0,17232251
44,guard,4367.0,17232251
44,conquer,90.0,17232251
44,tactic,267.0,17232251
44,5g,178.0,17232251
44,resist,2808.0,17232251
44,guerrilla,,17232251
44,peacetim,14.0,17232251
44,raider,1124.0,17232251
44,threat,1900.0,17232251
44,ammunit,30.0,17232251
44,weapon,420.0,17232251
44,warfar,66.0,17232251
44,tank,370.0,17232251
44,implant,48.0,17232251
44,minefield,3.0,17232251
44,warzon,10.0,17232251
44,battlefield,123.0,17232251
44,victori,527.0,17232251
44,bombard,25.0,17232251
44,antibiot,128.0,17232251
44,killer,419.0,17232251
44,upris,48.0,17232251
44,wartim,48.0,17232251
44,holocaust,136.0,17232251
44,vanquish,11.0,17232251
44,battlefront,,17232251
44,target,1580.0,17232251
44,radiat,49.0,17232251
44,melanin,4.0,17232251
44,death,62541.0,17232251
44,homefront,3.0,17232251
44,hoax,7574.0,17232251
44,chlorin,11.0,17232251
44,kill,14300.0,17232251
44,blitzkrieg,,17232251
44,poc,163.0,17232251
44,campaign,3888.0,17232251
44,struggl,7348.0,17232251
44,captur,336.0,17232251
44,war,3311.0,17232251
44,ceasefir,17.0,17232251
44,fighter,900.0,17232251
