week,words,frequency,total_words
11,black,16816.0,20181249
11,conflict,651.0,20181249
11,bleach,305.0,20181249
11,armor,93.0,20181249
11,besieg,27.0,20181249
11,artilleri,3.0,20181249
11,overcount,339.0,20181249
11,conquest,4.0,20181249
11,disarma,3.0,20181249
11,invas,158.0,20181249
11,arsenal,175.0,20181249
11,fire,14249.0,20181249
11,gunfight,1.0,20181249
11,frontlin,6870.0,20181249
11,liber,4677.0,20181249
11,africa,2169.0,20181249
11,militari,5341.0,20181249
11,escal,694.0,20181249
11,crusad,187.0,20181249
11,grenad,8.0,20181249
11,overblown,287.0,20181249
11,armament,2.0,20181249
11,battl,7003.0,20181249
11,won,,20181249
11,destruct,1187.0,20181249
11,flank,4.0,20181249
11,enemi,3361.0,20181249
11,trench,137.0,20181249
11,crossfir,3.0,20181249
11,arm,1369.0,20181249
11,bomb,575.0,20181249
11,fortifi,14.0,20181249
11,salvo,1.0,20181249
11,truce,27.0,20181249
11,retreat,101.0,20181249
11,alli,807.0,20181249
11,fought,802.0,20181249
11,insurg,12.0,20181249
11,mandatori,1309.0,20181249
11,unitedfront,,20181249
11,win,3925.0,20181249
11,defend,2040.0,20181249
11,defens,3620.0,20181249
11,sieg,112.0,20181249
11,battleground,24.0,20181249
11,gun,2221.0,20181249
11,dioxid,226.0,20181249
11,peac,1455.0,20181249
11,attack,11133.0,20181249
11,soldier,872.0,20181249
11,combat,6855.0,20181249
11,violenc,2772.0,20181249
11,battleplan,,20181249
11,foe,49.0,20181249
11,fight,30916.0,20181249
11,troop,462.0,20181249
11,front,8492.0,20181249
11,bloodsh,2.0,20181249
11,allianc,329.0,20181249
11,microchip,453.0,20181249
11,flu,11851.0,20181249
11,invad,449.0,20181249
11,hostil,259.0,20181249
11,gate,8860.0,20181249
11,die,67817.0,20181249
11,unreport,36.0,20181249
11,defeat,2260.0,20181249
11,rebellion,65.0,20181249
11,command,8167.0,20181249
11,strategi,4019.0,20181249
11,homeland,854.0,20181249
11,casualti,626.0,20181249
11,armi,1248.0,20181249
11,chip,,20181249
11,african,7997.0,20181249
11,treati,37.0,20181249
11,warrior,1003.0,20181249
11,beat,5409.0,20181249
11,electromagnet,9.0,20181249
11,lab,5859.0,20181249
11,shoot,1083.0,20181249
11,riot,159.0,20181249
11,guard,2040.0,20181249
11,conquer,325.0,20181249
11,tactic,521.0,20181249
11,5g,3215.0,20181249
11,resist,1571.0,20181249
11,guerrilla,8.0,20181249
11,peacetim,33.0,20181249
11,raider,91.0,20181249
11,threat,12631.0,20181249
11,ammunit,196.0,20181249
11,weapon,2245.0,20181249
11,warfar,257.0,20181249
11,tank,465.0,20181249
11,implant,55.0,20181249
11,minefield,10.0,20181249
11,warzon,82.0,20181249
11,battlefield,99.0,20181249
11,victori,1373.0,20181249
11,bombard,50.0,20181249
11,antibiot,308.0,20181249
11,killer,634.0,20181249
11,upris,32.0,20181249
11,wartim,875.0,20181249
11,holocaust,152.0,20181249
11,vanquish,86.0,20181249
11,battlefront,1.0,20181249
11,target,1691.0,20181249
11,radiat,261.0,20181249
11,melanin,13.0,20181249
11,death,100624.0,20181249
11,homefront,7.0,20181249
11,hoax,6315.0,20181249
11,chlorin,129.0,20181249
11,kill,16900.0,20181249
11,blitzkrieg,27.0,20181249
11,poc,221.0,20181249
11,campaign,9906.0,20181249
11,struggl,5248.0,20181249
11,captur,566.0,20181249
11,war,8871.0,20181249
11,ceasefir,196.0,20181249
11,fighter,419.0,20181249
