week,words,frequency,total_words
27,black,8075.0,20139003
27,conflict,633.0,20139003
27,bleach,467.0,20139003
27,armor,2205.0,20139003
27,besieg,6.0,20139003
27,artilleri,3.0,20139003
27,overcount,21.0,20139003
27,conquest,3.0,20139003
27,disarma,2.0,20139003
27,invas,250.0,20139003
27,arsenal,39.0,20139003
27,fire,3567.0,20139003
27,gunfight,1.0,20139003
27,frontlin,3915.0,20139003
27,liber,3697.0,20139003
27,africa,1147.0,20139003
27,militari,4230.0,20139003
27,escal,714.0,20139003
27,crusad,23.0,20139003
27,grenad,5.0,20139003
27,overblown,362.0,20139003
27,armament,1.0,20139003
27,battl,4617.0,20139003
27,won,,20139003
27,destruct,529.0,20139003
27,flank,6.0,20139003
27,enemi,632.0,20139003
27,trench,223.0,20139003
27,crossfir,,20139003
27,arm,1419.0,20139003
27,bomb,1233.0,20139003
27,fortifi,12.0,20139003
27,salvo,1.0,20139003
27,truce,,20139003
27,retreat,358.0,20139003
27,alli,565.0,20139003
27,fought,388.0,20139003
27,insurg,21.0,20139003
27,mandatori,1374.0,20139003
27,unitedfront,,20139003
27,win,3998.0,20139003
27,defend,1898.0,20139003
27,defens,5198.0,20139003
27,sieg,130.0,20139003
27,battleground,277.0,20139003
27,gun,1209.0,20139003
27,dioxid,82.0,20139003
27,peac,2234.0,20139003
27,attack,9486.0,20139003
27,soldier,2178.0,20139003
27,combat,5696.0,20139003
27,violenc,1861.0,20139003
27,battleplan,,20139003
27,foe,116.0,20139003
27,fight,23618.0,20139003
27,troop,2315.0,20139003
27,front,3913.0,20139003
27,bloodsh,1.0,20139003
27,allianc,226.0,20139003
27,microchip,301.0,20139003
27,flu,11723.0,20139003
27,invad,135.0,20139003
27,hostil,102.0,20139003
27,gate,3953.0,20139003
27,die,94313.0,20139003
27,unreport,155.0,20139003
27,defeat,10375.0,20139003
27,rebellion,19.0,20139003
27,command,671.0,20139003
27,strategi,5614.0,20139003
27,homeland,96.0,20139003
27,casualti,499.0,20139003
27,armi,594.0,20139003
27,chip,,20139003
27,african,998.0,20139003
27,treati,8.0,20139003
27,warrior,210.0,20139003
27,beat,4650.0,20139003
27,electromagnet,7.0,20139003
27,lab,4257.0,20139003
27,shoot,521.0,20139003
27,riot,2583.0,20139003
27,guard,1498.0,20139003
27,conquer,83.0,20139003
27,tactic,286.0,20139003
27,5g,2424.0,20139003
27,resist,2199.0,20139003
27,guerrilla,45.0,20139003
27,peacetim,1.0,20139003
27,raider,92.0,20139003
27,threat,5885.0,20139003
27,ammunit,11.0,20139003
27,weapon,1693.0,20139003
27,warfar,98.0,20139003
27,tank,1502.0,20139003
27,implant,57.0,20139003
27,minefield,9.0,20139003
27,warzon,14.0,20139003
27,battlefield,100.0,20139003
27,victori,861.0,20139003
27,bombard,24.0,20139003
27,antibiot,278.0,20139003
27,killer,1264.0,20139003
27,upris,57.0,20139003
27,wartim,36.0,20139003
27,holocaust,279.0,20139003
27,vanquish,103.0,20139003
27,battlefront,57.0,20139003
27,target,2836.0,20139003
27,radiat,64.0,20139003
27,melanin,5.0,20139003
27,death,107726.0,20139003
27,homefront,1.0,20139003
27,hoax,12862.0,20139003
27,chlorin,44.0,20139003
27,kill,18538.0,20139003
27,blitzkrieg,,20139003
27,poc,126.0,20139003
27,campaign,6307.0,20139003
27,struggl,7137.0,20139003
27,captur,726.0,20139003
27,war,4437.0,20139003
27,ceasefir,12.0,20139003
27,fighter,1229.0,20139003
