week,words,frequency,total_words
2,black,1230.0,10508428
2,conflict,666.0,10508428
2,bleach,614.0,10508428
2,armor,33.0,10508428
2,besieg,7.0,10508428
2,artilleri,,10508428
2,overcount,,10508428
2,conquest,2.0,10508428
2,disarma,,10508428
2,invas,67.0,10508428
2,arsenal,13.0,10508428
2,fire,3261.0,10508428
2,gunfight,,10508428
2,frontlin,648.0,10508428
2,liber,676.0,10508428
2,africa,1528.0,10508428
2,militari,4142.0,10508428
2,escal,776.0,10508428
2,crusad,3.0,10508428
2,grenad,23.0,10508428
2,overblown,118.0,10508428
2,armament,2.0,10508428
2,battl,2382.0,10508428
2,won,,10508428
2,destruct,240.0,10508428
2,flank,17.0,10508428
2,enemi,573.0,10508428
2,trench,108.0,10508428
2,crossfir,,10508428
2,arm,1649.0,10508428
2,bomb,98.0,10508428
2,fortifi,,10508428
2,salvo,,10508428
2,truce,178.0,10508428
2,retreat,36.0,10508428
2,alli,429.0,10508428
2,fought,121.0,10508428
2,insurg,5.0,10508428
2,mandatori,941.0,10508428
2,unitedfront,,10508428
2,win,2177.0,10508428
2,defend,412.0,10508428
2,defens,669.0,10508428
2,sieg,46.0,10508428
2,battleground,3.0,10508428
2,gun,746.0,10508428
2,dioxid,99.0,10508428
2,peac,1562.0,10508428
2,attack,2675.0,10508428
2,soldier,419.0,10508428
2,combat,3030.0,10508428
2,violenc,343.0,10508428
2,battleplan,2.0,10508428
2,foe,25.0,10508428
2,fight,9428.0,10508428
2,troop,350.0,10508428
2,front,1674.0,10508428
2,bloodsh,,10508428
2,allianc,77.0,10508428
2,microchip,172.0,10508428
2,flu,32674.0,10508428
2,invad,196.0,10508428
2,hostil,92.0,10508428
2,gate,5655.0,10508428
2,die,48419.0,10508428
2,unreport,38.0,10508428
2,defeat,295.0,10508428
2,rebellion,29.0,10508428
2,command,764.0,10508428
2,strategi,610.0,10508428
2,homeland,184.0,10508428
2,casualti,79.0,10508428
2,armi,1013.0,10508428
2,chip,,10508428
2,african,5948.0,10508428
2,treati,14.0,10508428
2,warrior,42.0,10508428
2,beat,768.0,10508428
2,electromagnet,18.0,10508428
2,lab,9051.0,10508428
2,shoot,613.0,10508428
2,riot,148.0,10508428
2,guard,669.0,10508428
2,conquer,42.0,10508428
2,tactic,202.0,10508428
2,5g,555.0,10508428
2,resist,575.0,10508428
2,guerrilla,,10508428
2,peacetim,1.0,10508428
2,raider,3.0,10508428
2,threat,5117.0,10508428
2,ammunit,8.0,10508428
2,weapon,3855.0,10508428
2,warfar,2087.0,10508428
2,tank,207.0,10508428
2,implant,9.0,10508428
2,minefield,9.0,10508428
2,warzon,,10508428
2,battlefield,4.0,10508428
2,victori,97.0,10508428
2,bombard,27.0,10508428
2,antibiot,389.0,10508428
2,killer,598.0,10508428
2,upris,55.0,10508428
2,wartim,196.0,10508428
2,holocaust,317.0,10508428
2,vanquish,23.0,10508428
2,battlefront,,10508428
2,target,4912.0,10508428
2,radiat,53.0,10508428
2,melanin,5.0,10508428
2,death,53492.0,10508428
2,homefront,4.0,10508428
2,hoax,696.0,10508428
2,chlorin,143.0,10508428
2,kill,19622.0,10508428
2,blitzkrieg,3.0,10508428
2,poc,22.0,10508428
2,campaign,589.0,10508428
2,struggl,2195.0,10508428
2,captur,804.0,10508428
2,war,2351.0,10508428
2,ceasefir,1.0,10508428
2,fighter,79.0,10508428
