week,words,frequency,total_words
34,black,6658.0,17546760
34,conflict,501.0,17546760
34,bleach,429.0,17546760
34,armor,18.0,17546760
34,besieg,14.0,17546760
34,artilleri,1.0,17546760
34,overcount,8.0,17546760
34,conquest,5.0,17546760
34,disarma,1.0,17546760
34,invas,166.0,17546760
34,arsenal,30.0,17546760
34,fire,8025.0,17546760
34,gunfight,,17546760
34,frontlin,1501.0,17546760
34,liber,1647.0,17546760
34,africa,1101.0,17546760
34,militari,3077.0,17546760
34,escal,159.0,17546760
34,crusad,22.0,17546760
34,grenad,5.0,17546760
34,overblown,74.0,17546760
34,armament,,17546760
34,battl,2941.0,17546760
34,won,,17546760
34,destruct,455.0,17546760
34,flank,40.0,17546760
34,enemi,1144.0,17546760
34,trench,25.0,17546760
34,crossfir,1.0,17546760
34,arm,1493.0,17546760
34,bomb,263.0,17546760
34,fortifi,16.0,17546760
34,salvo,1.0,17546760
34,truce,1.0,17546760
34,retreat,333.0,17546760
34,alli,1012.0,17546760
34,fought,895.0,17546760
34,insurg,60.0,17546760
34,mandatori,1003.0,17546760
34,unitedfront,,17546760
34,win,4232.0,17546760
34,defend,1941.0,17546760
34,defens,3077.0,17546760
34,sieg,29.0,17546760
34,battleground,123.0,17546760
34,gun,1500.0,17546760
34,dioxid,17.0,17546760
34,peac,2880.0,17546760
34,attack,7720.0,17546760
34,soldier,782.0,17546760
34,combat,3126.0,17546760
34,violenc,1950.0,17546760
34,battleplan,,17546760
34,foe,36.0,17546760
34,fight,11197.0,17546760
34,troop,665.0,17546760
34,front,2488.0,17546760
34,bloodsh,4.0,17546760
34,allianc,296.0,17546760
34,microchip,182.0,17546760
34,flu,19330.0,17546760
34,invad,600.0,17546760
34,hostil,51.0,17546760
34,gate,3804.0,17546760
34,die,59050.0,17546760
34,unreport,35.0,17546760
34,defeat,1098.0,17546760
34,rebellion,50.0,17546760
34,command,742.0,17546760
34,strategi,4692.0,17546760
34,homeland,1699.0,17546760
34,casualti,278.0,17546760
34,armi,1374.0,17546760
34,chip,,17546760
34,african,1007.0,17546760
34,treati,31.0,17546760
34,warrior,132.0,17546760
34,beat,1253.0,17546760
34,electromagnet,3.0,17546760
34,lab,14821.0,17546760
34,shoot,699.0,17546760
34,riot,1992.0,17546760
34,guard,1074.0,17546760
34,conquer,68.0,17546760
34,tactic,1313.0,17546760
34,5g,256.0,17546760
34,resist,1411.0,17546760
34,guerrilla,,17546760
34,peacetim,31.0,17546760
34,raider,31.0,17546760
34,threat,13423.0,17546760
34,ammunit,90.0,17546760
34,weapon,827.0,17546760
34,warfar,897.0,17546760
34,tank,223.0,17546760
34,implant,22.0,17546760
34,minefield,5.0,17546760
34,warzon,6.0,17546760
34,battlefield,62.0,17546760
34,victori,833.0,17546760
34,bombard,71.0,17546760
34,antibiot,73.0,17546760
34,killer,1330.0,17546760
34,upris,82.0,17546760
34,wartim,65.0,17546760
34,holocaust,86.0,17546760
34,vanquish,21.0,17546760
34,battlefront,,17546760
34,target,6392.0,17546760
34,radiat,132.0,17546760
34,melanin,4.0,17546760
34,death,77557.0,17546760
34,homefront,1.0,17546760
34,hoax,7785.0,17546760
34,chlorin,12.0,17546760
34,kill,22754.0,17546760
34,blitzkrieg,,17546760
34,poc,98.0,17546760
34,campaign,10433.0,17546760
34,struggl,2953.0,17546760
34,captur,300.0,17546760
34,war,5660.0,17546760
34,ceasefir,39.0,17546760
34,fighter,79.0,17546760
