week,words,frequency,total_words
1,black,632.0,10382986
1,conflict,163.0,10382986
1,bleach,1539.0,10382986
1,armor,4.0,10382986
1,besieg,29.0,10382986
1,artilleri,1.0,10382986
1,overcount,1.0,10382986
1,conquest,1.0,10382986
1,disarma,,10382986
1,invas,54.0,10382986
1,arsenal,18.0,10382986
1,fire,5041.0,10382986
1,gunfight,2.0,10382986
1,frontlin,700.0,10382986
1,liber,401.0,10382986
1,africa,1364.0,10382986
1,militari,1569.0,10382986
1,escal,884.0,10382986
1,crusad,17.0,10382986
1,grenad,1.0,10382986
1,overblown,73.0,10382986
1,armament,,10382986
1,battl,962.0,10382986
1,won,,10382986
1,destruct,122.0,10382986
1,flank,2.0,10382986
1,enemi,355.0,10382986
1,trench,2.0,10382986
1,crossfir,,10382986
1,arm,274.0,10382986
1,bomb,379.0,10382986
1,fortifi,15.0,10382986
1,salvo,2.0,10382986
1,truce,1.0,10382986
1,retreat,34.0,10382986
1,alli,183.0,10382986
1,fought,62.0,10382986
1,insurg,10.0,10382986
1,mandatori,232.0,10382986
1,unitedfront,,10382986
1,win,535.0,10382986
1,defend,510.0,10382986
1,defens,1292.0,10382986
1,sieg,10.0,10382986
1,battleground,,10382986
1,gun,745.0,10382986
1,dioxid,214.0,10382986
1,peac,421.0,10382986
1,attack,1605.0,10382986
1,soldier,236.0,10382986
1,combat,2041.0,10382986
1,violenc,198.0,10382986
1,battleplan,,10382986
1,foe,8.0,10382986
1,fight,4146.0,10382986
1,troop,58.0,10382986
1,front,1263.0,10382986
1,bloodsh,1.0,10382986
1,allianc,31.0,10382986
1,microchip,56.0,10382986
1,flu,19619.0,10382986
1,invad,93.0,10382986
1,hostil,64.0,10382986
1,gate,7273.0,10382986
1,die,20275.0,10382986
1,unreport,19.0,10382986
1,defeat,369.0,10382986
1,rebellion,2.0,10382986
1,command,70.0,10382986
1,strategi,1109.0,10382986
1,homeland,180.0,10382986
1,casualti,85.0,10382986
1,armi,390.0,10382986
1,chip,,10382986
1,african,9309.0,10382986
1,treati,90.0,10382986
1,warrior,27.0,10382986
1,beat,661.0,10382986
1,electromagnet,1.0,10382986
1,lab,10394.0,10382986
1,shoot,358.0,10382986
1,riot,253.0,10382986
1,guard,135.0,10382986
1,conquer,91.0,10382986
1,tactic,343.0,10382986
1,5g,883.0,10382986
1,resist,440.0,10382986
1,guerrilla,2.0,10382986
1,peacetim,,10382986
1,raider,3.0,10382986
1,threat,5832.0,10382986
1,ammunit,6.0,10382986
1,weapon,3002.0,10382986
1,warfar,2076.0,10382986
1,tank,427.0,10382986
1,implant,7.0,10382986
1,minefield,,10382986
1,warzon,,10382986
1,battlefield,2.0,10382986
1,victori,208.0,10382986
1,bombard,5.0,10382986
1,antibiot,294.0,10382986
1,killer,846.0,10382986
1,upris,35.0,10382986
1,wartim,8.0,10382986
1,holocaust,48.0,10382986
1,vanquish,1.0,10382986
1,battlefront,,10382986
1,target,668.0,10382986
1,radiat,32.0,10382986
1,melanin,1.0,10382986
1,death,31478.0,10382986
1,homefront,1.0,10382986
1,hoax,731.0,10382986
1,chlorin,224.0,10382986
1,kill,20871.0,10382986
1,blitzkrieg,,10382986
1,poc,15.0,10382986
1,campaign,209.0,10382986
1,struggl,834.0,10382986
1,captur,197.0,10382986
1,war,4529.0,10382986
1,ceasefir,1.0,10382986
1,fighter,97.0,10382986
