week,words,frequency,total_words
33,black,7781.0,17792124
33,conflict,332.0,17792124
33,bleach,1471.0,17792124
33,armor,11.0,17792124
33,besieg,100.0,17792124
33,artilleri,1.0,17792124
33,overcount,15.0,17792124
33,conquest,4.0,17792124
33,disarma,1.0,17792124
33,invas,215.0,17792124
33,arsenal,17.0,17792124
33,fire,5928.0,17792124
33,gunfight,,17792124
33,frontlin,5437.0,17792124
33,liber,2044.0,17792124
33,africa,2391.0,17792124
33,militari,8242.0,17792124
33,escal,232.0,17792124
33,crusad,30.0,17792124
33,grenad,6.0,17792124
33,overblown,110.0,17792124
33,armament,3.0,17792124
33,battl,3385.0,17792124
33,won,,17792124
33,destruct,670.0,17792124
33,flank,,17792124
33,enemi,3497.0,17792124
33,trench,13.0,17792124
33,crossfir,5.0,17792124
33,arm,854.0,17792124
33,bomb,167.0,17792124
33,fortifi,13.0,17792124
33,salvo,136.0,17792124
33,truce,6.0,17792124
33,retreat,67.0,17792124
33,alli,247.0,17792124
33,fought,1169.0,17792124
33,insurg,65.0,17792124
33,mandatori,1243.0,17792124
33,unitedfront,,17792124
33,win,4147.0,17792124
33,defend,3716.0,17792124
33,defens,1278.0,17792124
33,sieg,58.0,17792124
33,battleground,110.0,17792124
33,gun,920.0,17792124
33,dioxid,43.0,17792124
33,peac,2170.0,17792124
33,attack,5935.0,17792124
33,soldier,1348.0,17792124
33,combat,2998.0,17792124
33,violenc,3544.0,17792124
33,battleplan,,17792124
33,foe,128.0,17792124
33,fight,14048.0,17792124
33,troop,2650.0,17792124
33,front,2701.0,17792124
33,bloodsh,5.0,17792124
33,allianc,452.0,17792124
33,microchip,213.0,17792124
33,flu,30907.0,17792124
33,invad,507.0,17792124
33,hostil,98.0,17792124
33,gate,2559.0,17792124
33,die,75202.0,17792124
33,unreport,230.0,17792124
33,defeat,1195.0,17792124
33,rebellion,14.0,17792124
33,command,414.0,17792124
33,strategi,3477.0,17792124
33,homeland,90.0,17792124
33,casualti,230.0,17792124
33,armi,1645.0,17792124
33,chip,,17792124
33,african,1039.0,17792124
33,treati,47.0,17792124
33,warrior,205.0,17792124
33,beat,1693.0,17792124
33,electromagnet,3.0,17792124
33,lab,1992.0,17792124
33,shoot,897.0,17792124
33,riot,1905.0,17792124
33,guard,2767.0,17792124
33,conquer,229.0,17792124
33,tactic,882.0,17792124
33,5g,254.0,17792124
33,resist,1088.0,17792124
33,guerrilla,1.0,17792124
33,peacetim,11.0,17792124
33,raider,20.0,17792124
33,threat,20702.0,17792124
33,ammunit,13.0,17792124
33,weapon,1304.0,17792124
33,warfar,71.0,17792124
33,tank,231.0,17792124
33,implant,21.0,17792124
33,minefield,5.0,17792124
33,warzon,5.0,17792124
33,battlefield,56.0,17792124
33,victori,570.0,17792124
33,bombard,16.0,17792124
33,antibiot,124.0,17792124
33,killer,1664.0,17792124
33,upris,73.0,17792124
33,wartim,77.0,17792124
33,holocaust,1316.0,17792124
33,vanquish,6.0,17792124
33,battlefront,,17792124
33,target,1929.0,17792124
33,radiat,79.0,17792124
33,melanin,1.0,17792124
33,death,90904.0,17792124
33,homefront,,17792124
33,hoax,13161.0,17792124
33,chlorin,42.0,17792124
33,kill,14613.0,17792124
33,blitzkrieg,,17792124
33,poc,117.0,17792124
33,campaign,8214.0,17792124
33,struggl,3540.0,17792124
33,captur,484.0,17792124
33,war,5561.0,17792124
33,ceasefir,9.0,17792124
33,fighter,195.0,17792124
