week,words,frequency,total_words
37,black,3516.0,20453374
37,conflict,1450.0,20453374
37,bleach,4997.0,20453374
37,armor,68.0,20453374
37,besieg,8.0,20453374
37,artilleri,,20453374
37,overcount,2.0,20453374
37,conquest,1.0,20453374
37,disarma,2.0,20453374
37,invas,68.0,20453374
37,arsenal,112.0,20453374
37,fire,2137.0,20453374
37,gunfight,,20453374
37,frontlin,1980.0,20453374
37,liber,2354.0,20453374
37,africa,285.0,20453374
37,militari,11158.0,20453374
37,escal,251.0,20453374
37,crusad,38.0,20453374
37,grenad,6.0,20453374
37,overblown,425.0,20453374
37,armament,5.0,20453374
37,battl,5238.0,20453374
37,won,,20453374
37,destruct,410.0,20453374
37,flank,42.0,20453374
37,enemi,666.0,20453374
37,trench,9.0,20453374
37,crossfir,145.0,20453374
37,arm,2428.0,20453374
37,bomb,161.0,20453374
37,fortifi,237.0,20453374
37,salvo,87.0,20453374
37,truce,15.0,20453374
37,retreat,42.0,20453374
37,alli,547.0,20453374
37,fought,660.0,20453374
37,insurg,3.0,20453374
37,mandatori,867.0,20453374
37,unitedfront,,20453374
37,win,6695.0,20453374
37,defend,1465.0,20453374
37,defens,1426.0,20453374
37,sieg,6.0,20453374
37,battleground,940.0,20453374
37,gun,842.0,20453374
37,dioxid,13.0,20453374
37,peac,1353.0,20453374
37,attack,17789.0,20453374
37,soldier,2376.0,20453374
37,combat,1286.0,20453374
37,violenc,1359.0,20453374
37,battleplan,,20453374
37,foe,11.0,20453374
37,fight,14321.0,20453374
37,troop,666.0,20453374
37,front,6724.0,20453374
37,bloodsh,,20453374
37,allianc,78.0,20453374
37,microchip,146.0,20453374
37,flu,19825.0,20453374
37,invad,78.0,20453374
37,hostil,202.0,20453374
37,gate,416.0,20453374
37,die,76193.0,20453374
37,unreport,36.0,20453374
37,defeat,2740.0,20453374
37,rebellion,9.0,20453374
37,command,3614.0,20453374
37,strategi,2798.0,20453374
37,homeland,96.0,20453374
37,casualti,87.0,20453374
37,armi,899.0,20453374
37,chip,,20453374
37,african,525.0,20453374
37,treati,8.0,20453374
37,warrior,1163.0,20453374
37,beat,8201.0,20453374
37,electromagnet,1.0,20453374
37,lab,1333.0,20453374
37,shoot,959.0,20453374
37,riot,681.0,20453374
37,guard,3307.0,20453374
37,conquer,138.0,20453374
37,tactic,173.0,20453374
37,5g,85.0,20453374
37,resist,790.0,20453374
37,guerrilla,,20453374
37,peacetim,12.0,20453374
37,raider,514.0,20453374
37,threat,4994.0,20453374
37,ammunit,15.0,20453374
37,weapon,979.0,20453374
37,warfar,88.0,20453374
37,tank,410.0,20453374
37,implant,14.0,20453374
37,minefield,3.0,20453374
37,warzon,4.0,20453374
37,battlefield,11.0,20453374
37,victori,1221.0,20453374
37,bombard,11.0,20453374
37,antibiot,65.0,20453374
37,killer,953.0,20453374
37,upris,35.0,20453374
37,wartim,78.0,20453374
37,holocaust,25.0,20453374
37,vanquish,75.0,20453374
37,battlefront,,20453374
37,target,3747.0,20453374
37,radiat,19.0,20453374
37,melanin,96.0,20453374
37,death,38016.0,20453374
37,homefront,,20453374
37,hoax,8732.0,20453374
37,chlorin,8.0,20453374
37,kill,18722.0,20453374
37,blitzkrieg,,20453374
37,poc,70.0,20453374
37,campaign,36884.0,20453374
37,struggl,3049.0,20453374
37,captur,182.0,20453374
37,war,2677.0,20453374
37,ceasefir,13.0,20453374
37,fighter,1190.0,20453374
