week,words,frequency,total_words
49,black,9492.0,16432111
49,conflict,260.0,16432111
49,bleach,178.0,16432111
49,armor,24.0,16432111
49,besieg,30.0,16432111
49,artilleri,6.0,16432111
49,overcount,4.0,16432111
49,conquest,6.0,16432111
49,disarma,,16432111
49,invas,64.0,16432111
49,arsenal,71.0,16432111
49,fire,4692.0,16432111
49,gunfight,1.0,16432111
49,frontlin,5899.0,16432111
49,liber,969.0,16432111
49,africa,1441.0,16432111
49,militari,3478.0,16432111
49,escal,125.0,16432111
49,crusad,15.0,16432111
49,grenad,116.0,16432111
49,overblown,141.0,16432111
49,armament,,16432111
49,battl,3671.0,16432111
49,won,,16432111
49,destruct,723.0,16432111
49,flank,2.0,16432111
49,enemi,488.0,16432111
49,trench,32.0,16432111
49,crossfir,40.0,16432111
49,arm,2595.0,16432111
49,bomb,2723.0,16432111
49,fortifi,40.0,16432111
49,salvo,2.0,16432111
49,truce,,16432111
49,retreat,50.0,16432111
49,alli,201.0,16432111
49,fought,3067.0,16432111
49,insurg,5.0,16432111
49,mandatori,1120.0,16432111
49,unitedfront,,16432111
49,win,3846.0,16432111
49,defend,1131.0,16432111
49,defens,5236.0,16432111
49,sieg,29.0,16432111
49,battleground,24.0,16432111
49,gun,1361.0,16432111
49,dioxid,21.0,16432111
49,peac,2079.0,16432111
49,attack,6410.0,16432111
49,soldier,752.0,16432111
49,combat,903.0,16432111
49,violenc,895.0,16432111
49,battleplan,,16432111
49,foe,41.0,16432111
49,fight,13635.0,16432111
49,troop,415.0,16432111
49,front,7092.0,16432111
49,bloodsh,6.0,16432111
49,allianc,134.0,16432111
49,microchip,685.0,16432111
49,flu,10574.0,16432111
49,invad,241.0,16432111
49,hostil,44.0,16432111
49,gate,1248.0,16432111
49,die,66135.0,16432111
49,unreport,36.0,16432111
49,defeat,1423.0,16432111
49,rebellion,17.0,16432111
49,command,292.0,16432111
49,strategi,1589.0,16432111
49,homeland,89.0,16432111
49,casualti,295.0,16432111
49,armi,648.0,16432111
49,chip,,16432111
49,african,628.0,16432111
49,treati,22.0,16432111
49,warrior,200.0,16432111
49,beat,2336.0,16432111
49,electromagnet,1.0,16432111
49,lab,1649.0,16432111
49,shoot,727.0,16432111
49,riot,346.0,16432111
49,guard,2427.0,16432111
49,conquer,366.0,16432111
49,tactic,183.0,16432111
49,5g,445.0,16432111
49,resist,1080.0,16432111
49,guerrilla,,16432111
49,peacetim,1.0,16432111
49,raider,179.0,16432111
49,threat,2106.0,16432111
49,ammunit,17.0,16432111
49,weapon,678.0,16432111
49,warfar,65.0,16432111
49,tank,911.0,16432111
49,implant,131.0,16432111
49,minefield,1.0,16432111
49,warzon,34.0,16432111
49,battlefield,8.0,16432111
49,victori,602.0,16432111
49,bombard,28.0,16432111
49,antibiot,508.0,16432111
49,killer,523.0,16432111
49,upris,47.0,16432111
49,wartim,38.0,16432111
49,holocaust,83.0,16432111
49,vanquish,35.0,16432111
49,battlefront,2.0,16432111
49,target,1487.0,16432111
49,radiat,172.0,16432111
49,melanin,1.0,16432111
49,death,45478.0,16432111
49,homefront,,16432111
49,hoax,27798.0,16432111
49,chlorin,5.0,16432111
49,kill,14465.0,16432111
49,blitzkrieg,1.0,16432111
49,poc,137.0,16432111
49,campaign,6383.0,16432111
49,struggl,9386.0,16432111
49,captur,364.0,16432111
49,war,6573.0,16432111
49,ceasefir,1.0,16432111
49,fighter,143.0,16432111
