week,words,frequency,total_words
3,black,1116.0,11848972
3,conflict,421.0,11848972
3,bleach,688.0,11848972
3,armor,14.0,11848972
3,besieg,8.0,11848972
3,artilleri,,11848972
3,overcount,,11848972
3,conquest,3.0,11848972
3,disarma,1.0,11848972
3,invas,151.0,11848972
3,arsenal,62.0,11848972
3,fire,3346.0,11848972
3,gunfight,,11848972
3,frontlin,750.0,11848972
3,liber,393.0,11848972
3,africa,10296.0,11848972
3,militari,6177.0,11848972
3,escal,312.0,11848972
3,crusad,32.0,11848972
3,grenad,1.0,11848972
3,overblown,64.0,11848972
3,armament,,11848972
3,battl,2769.0,11848972
3,won,,11848972
3,destruct,297.0,11848972
3,flank,1.0,11848972
3,enemi,1166.0,11848972
3,trench,25.0,11848972
3,crossfir,1.0,11848972
3,arm,2296.0,11848972
3,bomb,240.0,11848972
3,fortifi,5.0,11848972
3,salvo,,11848972
3,truce,28.0,11848972
3,retreat,291.0,11848972
3,alli,247.0,11848972
3,fought,69.0,11848972
3,insurg,1.0,11848972
3,mandatori,992.0,11848972
3,unitedfront,,11848972
3,win,941.0,11848972
3,defend,528.0,11848972
3,defens,820.0,11848972
3,sieg,24.0,11848972
3,battleground,,11848972
3,gun,368.0,11848972
3,dioxid,498.0,11848972
3,peac,788.0,11848972
3,attack,3898.0,11848972
3,soldier,234.0,11848972
3,combat,3187.0,11848972
3,violenc,127.0,11848972
3,battleplan,,11848972
3,foe,31.0,11848972
3,fight,13803.0,11848972
3,troop,453.0,11848972
3,front,2652.0,11848972
3,bloodsh,,11848972
3,allianc,67.0,11848972
3,microchip,69.0,11848972
3,flu,16216.0,11848972
3,invad,191.0,11848972
3,hostil,142.0,11848972
3,gate,18199.0,11848972
3,die,47611.0,11848972
3,unreport,121.0,11848972
3,defeat,390.0,11848972
3,rebellion,40.0,11848972
3,command,524.0,11848972
3,strategi,990.0,11848972
3,homeland,4610.0,11848972
3,casualti,222.0,11848972
3,armi,454.0,11848972
3,chip,,11848972
3,african,17155.0,11848972
3,treati,31.0,11848972
3,warrior,56.0,11848972
3,beat,1218.0,11848972
3,electromagnet,,11848972
3,lab,17984.0,11848972
3,shoot,1126.0,11848972
3,riot,358.0,11848972
3,guard,436.0,11848972
3,conquer,37.0,11848972
3,tactic,385.0,11848972
3,5g,513.0,11848972
3,resist,892.0,11848972
3,guerrilla,,11848972
3,peacetim,,11848972
3,raider,2.0,11848972
3,threat,7002.0,11848972
3,ammunit,5.0,11848972
3,weapon,13507.0,11848972
3,warfar,3021.0,11848972
3,tank,188.0,11848972
3,implant,28.0,11848972
3,minefield,9.0,11848972
3,warzon,4.0,11848972
3,battlefield,8.0,11848972
3,victori,193.0,11848972
3,bombard,10.0,11848972
3,antibiot,259.0,11848972
3,killer,505.0,11848972
3,upris,243.0,11848972
3,wartim,626.0,11848972
3,holocaust,38.0,11848972
3,vanquish,,11848972
3,battlefront,,11848972
3,target,1535.0,11848972
3,radiat,38.0,11848972
3,melanin,,11848972
3,death,64907.0,11848972
3,homefront,5.0,11848972
3,hoax,369.0,11848972
3,chlorin,32.0,11848972
3,kill,24174.0,11848972
3,blitzkrieg,,11848972
3,poc,21.0,11848972
3,campaign,643.0,11848972
3,struggl,1189.0,11848972
3,captur,528.0,11848972
3,war,2158.0,11848972
3,ceasefir,11.0,11848972
3,fighter,80.0,11848972
