week,words,frequency,total_words
40,black,5551.0,18665743
40,conflict,450.0,18665743
40,bleach,1262.0,18665743
40,armor,29.0,18665743
40,besieg,11.0,18665743
40,artilleri,1.0,18665743
40,overcount,1551.0,18665743
40,conquest,1.0,18665743
40,disarma,4.0,18665743
40,invas,140.0,18665743
40,arsenal,20.0,18665743
40,fire,3326.0,18665743
40,gunfight,,18665743
40,frontlin,5465.0,18665743
40,liber,1345.0,18665743
40,africa,462.0,18665743
40,militari,1756.0,18665743
40,escal,273.0,18665743
40,crusad,30.0,18665743
40,grenad,38.0,18665743
40,overblown,138.0,18665743
40,armament,2.0,18665743
40,battl,3171.0,18665743
40,won,,18665743
40,destruct,788.0,18665743
40,flank,,18665743
40,enemi,772.0,18665743
40,trench,61.0,18665743
40,crossfir,,18665743
40,arm,647.0,18665743
40,bomb,211.0,18665743
40,fortifi,9.0,18665743
40,salvo,11.0,18665743
40,truce,13.0,18665743
40,retreat,217.0,18665743
40,alli,671.0,18665743
40,fought,2669.0,18665743
40,insurg,5.0,18665743
40,mandatori,1305.0,18665743
40,unitedfront,,18665743
40,win,7328.0,18665743
40,defend,1147.0,18665743
40,defens,1472.0,18665743
40,sieg,13.0,18665743
40,battleground,422.0,18665743
40,gun,1103.0,18665743
40,dioxid,11.0,18665743
40,peac,1056.0,18665743
40,attack,6086.0,18665743
40,soldier,1010.0,18665743
40,combat,2792.0,18665743
40,violenc,1414.0,18665743
40,battleplan,15.0,18665743
40,foe,40.0,18665743
40,fight,22958.0,18665743
40,troop,460.0,18665743
40,front,2910.0,18665743
40,bloodsh,3.0,18665743
40,allianc,130.0,18665743
40,microchip,228.0,18665743
40,flu,22561.0,18665743
40,invad,126.0,18665743
40,hostil,1499.0,18665743
40,gate,800.0,18665743
40,die,72457.0,18665743
40,unreport,21.0,18665743
40,defeat,6316.0,18665743
40,rebellion,26.0,18665743
40,command,403.0,18665743
40,strategi,6304.0,18665743
40,homeland,166.0,18665743
40,casualti,549.0,18665743
40,armi,614.0,18665743
40,chip,,18665743
40,african,474.0,18665743
40,treati,30.0,18665743
40,warrior,290.0,18665743
40,beat,12990.0,18665743
40,electromagnet,3.0,18665743
40,lab,1559.0,18665743
40,shoot,1089.0,18665743
40,riot,764.0,18665743
40,guard,952.0,18665743
40,conquer,197.0,18665743
40,tactic,473.0,18665743
40,5g,246.0,18665743
40,resist,1265.0,18665743
40,guerrilla,1.0,18665743
40,peacetim,3.0,18665743
40,raider,775.0,18665743
40,threat,4490.0,18665743
40,ammunit,9.0,18665743
40,weapon,786.0,18665743
40,warfar,55.0,18665743
40,tank,752.0,18665743
40,implant,43.0,18665743
40,minefield,5.0,18665743
40,warzon,18.0,18665743
40,battlefield,23.0,18665743
40,victori,1102.0,18665743
40,bombard,21.0,18665743
40,antibiot,125.0,18665743
40,killer,398.0,18665743
40,upris,45.0,18665743
40,wartim,425.0,18665743
40,holocaust,214.0,18665743
40,vanquish,45.0,18665743
40,battlefront,,18665743
40,target,2350.0,18665743
40,radiat,55.0,18665743
40,melanin,5.0,18665743
40,death,110812.0,18665743
40,homefront,1.0,18665743
40,hoax,4121.0,18665743
40,chlorin,7.0,18665743
40,kill,16526.0,18665743
40,blitzkrieg,,18665743
40,poc,365.0,18665743
40,campaign,29688.0,18665743
40,struggl,6400.0,18665743
40,captur,291.0,18665743
40,war,6529.0,18665743
40,ceasefir,101.0,18665743
40,fighter,129.0,18665743
