week,words,frequency,total_words
26,black,11627.0,20212446
26,conflict,636.0,20212446
26,bleach,1128.0,20212446
26,armor,12.0,20212446
26,besieg,29.0,20212446
26,artilleri,1.0,20212446
26,overcount,22.0,20212446
26,conquest,2.0,20212446
26,disarma,1.0,20212446
26,invas,243.0,20212446
26,arsenal,22.0,20212446
26,fire,5342.0,20212446
26,gunfight,,20212446
26,frontlin,1794.0,20212446
26,liber,2027.0,20212446
26,africa,1667.0,20212446
26,militari,7135.0,20212446
26,escal,368.0,20212446
26,crusad,30.0,20212446
26,grenad,1.0,20212446
26,overblown,88.0,20212446
26,armament,,20212446
26,battl,4681.0,20212446
26,won,,20212446
26,destruct,772.0,20212446
26,flank,24.0,20212446
26,enemi,963.0,20212446
26,trench,33.0,20212446
26,crossfir,4.0,20212446
26,arm,4187.0,20212446
26,bomb,707.0,20212446
26,fortifi,23.0,20212446
26,salvo,16.0,20212446
26,truce,,20212446
26,retreat,151.0,20212446
26,alli,1178.0,20212446
26,fought,835.0,20212446
26,insurg,87.0,20212446
26,mandatori,3268.0,20212446
26,unitedfront,,20212446
26,win,4685.0,20212446
26,defend,2609.0,20212446
26,defens,2606.0,20212446
26,sieg,136.0,20212446
26,battleground,174.0,20212446
26,gun,3583.0,20212446
26,dioxid,212.0,20212446
26,peac,2809.0,20212446
26,attack,7937.0,20212446
26,soldier,4669.0,20212446
26,combat,4075.0,20212446
26,violenc,4326.0,20212446
26,battleplan,,20212446
26,foe,21.0,20212446
26,fight,20424.0,20212446
26,troop,6235.0,20212446
26,front,2722.0,20212446
26,bloodsh,2.0,20212446
26,allianc,233.0,20212446
26,microchip,711.0,20212446
26,flu,10516.0,20212446
26,invad,316.0,20212446
26,hostil,315.0,20212446
26,gate,2250.0,20212446
26,die,75019.0,20212446
26,unreport,567.0,20212446
26,defeat,2796.0,20212446
26,rebellion,20.0,20212446
26,command,557.0,20212446
26,strategi,5819.0,20212446
26,homeland,475.0,20212446
26,casualti,1320.0,20212446
26,armi,582.0,20212446
26,chip,,20212446
26,african,1026.0,20212446
26,treati,29.0,20212446
26,warrior,120.0,20212446
26,beat,4256.0,20212446
26,electromagnet,,20212446
26,lab,8801.0,20212446
26,shoot,981.0,20212446
26,riot,4730.0,20212446
26,guard,1613.0,20212446
26,conquer,80.0,20212446
26,tactic,941.0,20212446
26,5g,464.0,20212446
26,resist,2091.0,20212446
26,guerrilla,2.0,20212446
26,peacetim,6.0,20212446
26,raider,119.0,20212446
26,threat,4716.0,20212446
26,ammunit,33.0,20212446
26,weapon,1182.0,20212446
26,warfar,103.0,20212446
26,tank,294.0,20212446
26,implant,98.0,20212446
26,minefield,11.0,20212446
26,warzon,47.0,20212446
26,battlefield,41.0,20212446
26,victori,1365.0,20212446
26,bombard,12.0,20212446
26,antibiot,134.0,20212446
26,killer,571.0,20212446
26,upris,78.0,20212446
26,wartim,257.0,20212446
26,holocaust,96.0,20212446
26,vanquish,9.0,20212446
26,battlefront,1.0,20212446
26,target,3803.0,20212446
26,radiat,120.0,20212446
26,melanin,4.0,20212446
26,death,114717.0,20212446
26,homefront,1.0,20212446
26,hoax,4705.0,20212446
26,chlorin,192.0,20212446
26,kill,26791.0,20212446
26,blitzkrieg,,20212446
26,poc,206.0,20212446
26,campaign,7944.0,20212446
26,struggl,4839.0,20212446
26,captur,551.0,20212446
26,war,7249.0,20212446
26,ceasefir,18.0,20212446
26,fighter,266.0,20212446
