week,words,frequency,total_words
8,black,2395.0,19089428
8,conflict,621.0,19089428
8,bleach,242.0,19089428
8,armor,55.0,19089428
8,besieg,4.0,19089428
8,artilleri,1.0,19089428
8,overcount,1.0,19089428
8,conquest,,19089428
8,disarma,3.0,19089428
8,invas,212.0,19089428
8,arsenal,58.0,19089428
8,fire,7568.0,19089428
8,gunfight,1.0,19089428
8,frontlin,1098.0,19089428
8,liber,2276.0,19089428
8,africa,1105.0,19089428
8,militari,3380.0,19089428
8,escal,448.0,19089428
8,crusad,12.0,19089428
8,grenad,3.0,19089428
8,overblown,131.0,19089428
8,armament,,19089428
8,battl,5493.0,19089428
8,won,,19089428
8,destruct,348.0,19089428
8,flank,7.0,19089428
8,enemi,1401.0,19089428
8,trench,109.0,19089428
8,crossfir,2.0,19089428
8,arm,671.0,19089428
8,bomb,679.0,19089428
8,fortifi,39.0,19089428
8,salvo,9.0,19089428
8,truce,9.0,19089428
8,retreat,240.0,19089428
8,alli,525.0,19089428
8,fought,326.0,19089428
8,insurg,5.0,19089428
8,mandatori,882.0,19089428
8,unitedfront,,19089428
8,win,2121.0,19089428
8,defend,1305.0,19089428
8,defens,2483.0,19089428
8,sieg,20.0,19089428
8,battleground,22.0,19089428
8,gun,2744.0,19089428
8,dioxid,353.0,19089428
8,peac,838.0,19089428
8,attack,7523.0,19089428
8,soldier,717.0,19089428
8,combat,7617.0,19089428
8,violenc,1383.0,19089428
8,battleplan,,19089428
8,foe,130.0,19089428
8,fight,22823.0,19089428
8,troop,593.0,19089428
8,front,3782.0,19089428
8,bloodsh,1.0,19089428
8,allianc,166.0,19089428
8,microchip,358.0,19089428
8,flu,15574.0,19089428
8,invad,140.0,19089428
8,hostil,322.0,19089428
8,gate,1312.0,19089428
8,die,20903.0,19089428
8,unreport,13.0,19089428
8,defeat,2448.0,19089428
8,rebellion,22.0,19089428
8,command,863.0,19089428
8,strategi,1994.0,19089428
8,homeland,340.0,19089428
8,casualti,426.0,19089428
8,armi,3101.0,19089428
8,chip,,19089428
8,african,463.0,19089428
8,treati,16.0,19089428
8,warrior,441.0,19089428
8,beat,2254.0,19089428
8,electromagnet,,19089428
8,lab,4508.0,19089428
8,shoot,2071.0,19089428
8,riot,265.0,19089428
8,guard,2167.0,19089428
8,conquer,353.0,19089428
8,tactic,580.0,19089428
8,5g,284.0,19089428
8,resist,1389.0,19089428
8,guerrilla,4.0,19089428
8,peacetim,11.0,19089428
8,raider,45.0,19089428
8,threat,10332.0,19089428
8,ammunit,420.0,19089428
8,weapon,967.0,19089428
8,warfar,183.0,19089428
8,tank,1041.0,19089428
8,implant,10.0,19089428
8,minefield,8.0,19089428
8,warzon,65.0,19089428
8,battlefield,36.0,19089428
8,victori,490.0,19089428
8,bombard,609.0,19089428
8,antibiot,194.0,19089428
8,killer,162.0,19089428
8,upris,60.0,19089428
8,wartim,675.0,19089428
8,holocaust,68.0,19089428
8,vanquish,18.0,19089428
8,battlefront,,19089428
8,target,2096.0,19089428
8,radiat,99.0,19089428
8,melanin,18.0,19089428
8,death,26570.0,19089428
8,homefront,2.0,19089428
8,hoax,11486.0,19089428
8,chlorin,127.0,19089428
8,kill,12733.0,19089428
8,blitzkrieg,1.0,19089428
8,poc,31.0,19089428
8,campaign,6743.0,19089428
8,struggl,3763.0,19089428
8,captur,345.0,19089428
8,war,5443.0,19089428
8,ceasefir,21.0,19089428
8,fighter,182.0,19089428
