week,words,frequency,total_words
50,black,7752.0,13932989
50,conflict,393.0,13932989
50,bleach,138.0,13932989
50,armor,39.0,13932989
50,besieg,38.0,13932989
50,artilleri,1.0,13932989
50,overcount,17.0,13932989
50,conquest,4.0,13932989
50,disarma,2.0,13932989
50,invas,153.0,13932989
50,arsenal,54.0,13932989
50,fire,3145.0,13932989
50,gunfight,,13932989
50,frontlin,2553.0,13932989
50,liber,904.0,13932989
50,africa,1270.0,13932989
50,militari,2088.0,13932989
50,escal,289.0,13932989
50,crusad,37.0,13932989
50,grenad,6.0,13932989
50,overblown,89.0,13932989
50,armament,,13932989
50,battl,2741.0,13932989
50,won,,13932989
50,destruct,544.0,13932989
50,flank,3.0,13932989
50,enemi,1158.0,13932989
50,trench,98.0,13932989
50,crossfir,11.0,13932989
50,arm,4334.0,13932989
50,bomb,624.0,13932989
50,fortifi,10.0,13932989
50,salvo,3.0,13932989
50,truce,2.0,13932989
50,retreat,44.0,13932989
50,alli,305.0,13932989
50,fought,1075.0,13932989
50,insurg,633.0,13932989
50,mandatori,1507.0,13932989
50,unitedfront,,13932989
50,win,4046.0,13932989
50,defend,1900.0,13932989
50,defens,1852.0,13932989
50,sieg,204.0,13932989
50,battleground,12.0,13932989
50,gun,1465.0,13932989
50,dioxid,32.0,13932989
50,peac,1796.0,13932989
50,attack,7916.0,13932989
50,soldier,233.0,13932989
50,combat,1186.0,13932989
50,violenc,2979.0,13932989
50,battleplan,,13932989
50,foe,70.0,13932989
50,fight,18710.0,13932989
50,troop,323.0,13932989
50,front,2567.0,13932989
50,bloodsh,11.0,13932989
50,allianc,116.0,13932989
50,microchip,962.0,13932989
50,flu,7342.0,13932989
50,invad,266.0,13932989
50,hostil,83.0,13932989
50,gate,748.0,13932989
50,die,46047.0,13932989
50,unreport,340.0,13932989
50,defeat,1273.0,13932989
50,rebellion,785.0,13932989
50,command,175.0,13932989
50,strategi,2109.0,13932989
50,homeland,62.0,13932989
50,casualti,181.0,13932989
50,armi,526.0,13932989
50,chip,,13932989
50,african,957.0,13932989
50,treati,23.0,13932989
50,warrior,119.0,13932989
50,beat,10551.0,13932989
50,electromagnet,4.0,13932989
50,lab,3098.0,13932989
50,shoot,854.0,13932989
50,riot,3659.0,13932989
50,guard,2624.0,13932989
50,conquer,96.0,13932989
50,tactic,987.0,13932989
50,5g,746.0,13932989
50,resist,1190.0,13932989
50,guerrilla,,13932989
50,peacetim,9.0,13932989
50,raider,103.0,13932989
50,threat,3959.0,13932989
50,ammunit,15.0,13932989
50,weapon,2536.0,13932989
50,warfar,173.0,13932989
50,tank,1092.0,13932989
50,implant,153.0,13932989
50,minefield,4.0,13932989
50,warzon,34.0,13932989
50,battlefield,7.0,13932989
50,victori,1404.0,13932989
50,bombard,20.0,13932989
50,antibiot,141.0,13932989
50,killer,316.0,13932989
50,upris,65.0,13932989
50,wartim,68.0,13932989
50,holocaust,232.0,13932989
50,vanquish,45.0,13932989
50,battlefront,,13932989
50,target,1521.0,13932989
50,radiat,75.0,13932989
50,melanin,9.0,13932989
50,death,47587.0,13932989
50,homefront,,13932989
50,hoax,3832.0,13932989
50,chlorin,12.0,13932989
50,kill,13055.0,13932989
50,blitzkrieg,,13932989
50,poc,181.0,13932989
50,campaign,2793.0,13932989
50,struggl,4675.0,13932989
50,captur,246.0,13932989
50,war,5769.0,13932989
50,ceasefir,,13932989
50,fighter,86.0,13932989
