week,words,frequency,total_words
7,black,2684.0,18431406
7,conflict,181.0,18431406
7,bleach,501.0,18431406
7,armor,24.0,18431406
7,besieg,4.0,18431406
7,artilleri,1.0,18431406
7,overcount,,18431406
7,conquest,5.0,18431406
7,disarma,1.0,18431406
7,invas,371.0,18431406
7,arsenal,1003.0,18431406
7,fire,8224.0,18431406
7,gunfight,,18431406
7,frontlin,1169.0,18431406
7,liber,2762.0,18431406
7,africa,2995.0,18431406
7,militari,1494.0,18431406
7,escal,754.0,18431406
7,crusad,13.0,18431406
7,grenad,10.0,18431406
7,overblown,571.0,18431406
7,armament,,18431406
7,battl,1295.0,18431406
7,won,,18431406
7,destruct,1017.0,18431406
7,flank,52.0,18431406
7,enemi,3469.0,18431406
7,trench,329.0,18431406
7,crossfir,,18431406
7,arm,950.0,18431406
7,bomb,429.0,18431406
7,fortifi,13.0,18431406
7,salvo,5.0,18431406
7,truce,3.0,18431406
7,retreat,69.0,18431406
7,alli,995.0,18431406
7,fought,225.0,18431406
7,insurg,,18431406
7,mandatori,956.0,18431406
7,unitedfront,,18431406
7,win,2964.0,18431406
7,defend,1386.0,18431406
7,defens,841.0,18431406
7,sieg,14.0,18431406
7,battleground,165.0,18431406
7,gun,1287.0,18431406
7,dioxid,144.0,18431406
7,peac,787.0,18431406
7,attack,4765.0,18431406
7,soldier,844.0,18431406
7,combat,6832.0,18431406
7,violenc,610.0,18431406
7,battleplan,1.0,18431406
7,foe,13.0,18431406
7,fight,14254.0,18431406
7,troop,366.0,18431406
7,front,2461.0,18431406
7,bloodsh,1.0,18431406
7,allianc,116.0,18431406
7,microchip,173.0,18431406
7,flu,32001.0,18431406
7,invad,470.0,18431406
7,hostil,340.0,18431406
7,gate,844.0,18431406
7,die,44698.0,18431406
7,unreport,84.0,18431406
7,defeat,2528.0,18431406
7,rebellion,7.0,18431406
7,command,769.0,18431406
7,strategi,1650.0,18431406
7,homeland,551.0,18431406
7,casualti,281.0,18431406
7,armi,457.0,18431406
7,chip,,18431406
7,african,419.0,18431406
7,treati,18.0,18431406
7,warrior,650.0,18431406
7,beat,4522.0,18431406
7,electromagnet,1.0,18431406
7,lab,9520.0,18431406
7,shoot,683.0,18431406
7,riot,446.0,18431406
7,guard,2568.0,18431406
7,conquer,217.0,18431406
7,tactic,2760.0,18431406
7,5g,290.0,18431406
7,resist,646.0,18431406
7,guerrilla,,18431406
7,peacetim,7.0,18431406
7,raider,68.0,18431406
7,threat,8426.0,18431406
7,ammunit,65.0,18431406
7,weapon,2227.0,18431406
7,warfar,195.0,18431406
7,tank,854.0,18431406
7,implant,8.0,18431406
7,minefield,3.0,18431406
7,warzon,66.0,18431406
7,battlefield,38.0,18431406
7,victori,511.0,18431406
7,bombard,28.0,18431406
7,antibiot,133.0,18431406
7,killer,381.0,18431406
7,upris,18.0,18431406
7,wartim,113.0,18431406
7,holocaust,23.0,18431406
7,vanquish,24.0,18431406
7,battlefront,1.0,18431406
7,target,1743.0,18431406
7,radiat,40.0,18431406
7,melanin,65.0,18431406
7,death,36612.0,18431406
7,homefront,1.0,18431406
7,hoax,5421.0,18431406
7,chlorin,140.0,18431406
7,kill,17817.0,18431406
7,blitzkrieg,,18431406
7,poc,30.0,18431406
7,campaign,5680.0,18431406
7,struggl,2255.0,18431406
7,captur,114.0,18431406
7,war,6533.0,18431406
7,ceasefir,4.0,18431406
7,fighter,184.0,18431406
