week,words,frequency,total_words
30,black,10305.0,20159560
30,conflict,483.0,20159560
30,bleach,620.0,20159560
30,armor,92.0,20159560
30,besieg,6.0,20159560
30,artilleri,11.0,20159560
30,overcount,261.0,20159560
30,conquest,,20159560
30,disarma,,20159560
30,invas,752.0,20159560
30,arsenal,35.0,20159560
30,fire,6379.0,20159560
30,gunfight,,20159560
30,frontlin,2303.0,20159560
30,liber,2086.0,20159560
30,africa,1235.0,20159560
30,militari,3062.0,20159560
30,escal,274.0,20159560
30,crusad,40.0,20159560
30,grenad,45.0,20159560
30,overblown,72.0,20159560
30,armament,2.0,20159560
30,battl,4098.0,20159560
30,won,,20159560
30,destruct,1109.0,20159560
30,flank,4.0,20159560
30,enemi,556.0,20159560
30,trench,31.0,20159560
30,crossfir,13.0,20159560
30,arm,782.0,20159560
30,bomb,549.0,20159560
30,fortifi,11.0,20159560
30,salvo,12.0,20159560
30,truce,15.0,20159560
30,retreat,253.0,20159560
30,alli,519.0,20159560
30,fought,1342.0,20159560
30,insurg,77.0,20159560
30,mandatori,2830.0,20159560
30,unitedfront,,20159560
30,win,4522.0,20159560
30,defend,1882.0,20159560
30,defens,1219.0,20159560
30,sieg,55.0,20159560
30,battleground,465.0,20159560
30,gun,964.0,20159560
30,dioxid,71.0,20159560
30,peac,2974.0,20159560
30,attack,8175.0,20159560
30,soldier,2000.0,20159560
30,combat,3584.0,20159560
30,violenc,1763.0,20159560
30,battleplan,,20159560
30,foe,39.0,20159560
30,fight,18800.0,20159560
30,troop,1521.0,20159560
30,front,4113.0,20159560
30,bloodsh,7.0,20159560
30,allianc,345.0,20159560
30,microchip,258.0,20159560
30,flu,13312.0,20159560
30,invad,159.0,20159560
30,hostil,80.0,20159560
30,gate,4231.0,20159560
30,die,62548.0,20159560
30,unreport,149.0,20159560
30,defeat,1864.0,20159560
30,rebellion,79.0,20159560
30,command,418.0,20159560
30,strategi,6713.0,20159560
30,homeland,250.0,20159560
30,casualti,550.0,20159560
30,armi,544.0,20159560
30,chip,,20159560
30,african,799.0,20159560
30,treati,44.0,20159560
30,warrior,193.0,20159560
30,beat,2679.0,20159560
30,electromagnet,1.0,20159560
30,lab,4523.0,20159560
30,shoot,2062.0,20159560
30,riot,2376.0,20159560
30,guard,1994.0,20159560
30,conquer,159.0,20159560
30,tactic,791.0,20159560
30,5g,715.0,20159560
30,resist,1380.0,20159560
30,guerrilla,,20159560
30,peacetim,,20159560
30,raider,110.0,20159560
30,threat,5149.0,20159560
30,ammunit,21.0,20159560
30,weapon,2202.0,20159560
30,warfar,67.0,20159560
30,tank,316.0,20159560
30,implant,24.0,20159560
30,minefield,9.0,20159560
30,warzon,20.0,20159560
30,battlefield,24.0,20159560
30,victori,784.0,20159560
30,bombard,37.0,20159560
30,antibiot,95.0,20159560
30,killer,777.0,20159560
30,upris,422.0,20159560
30,wartim,68.0,20159560
30,holocaust,53.0,20159560
30,vanquish,50.0,20159560
30,battlefront,3.0,20159560
30,target,1856.0,20159560
30,radiat,83.0,20159560
30,melanin,5.0,20159560
30,death,114940.0,20159560
30,homefront,5.0,20159560
30,hoax,3458.0,20159560
30,chlorin,39.0,20159560
30,kill,19865.0,20159560
30,blitzkrieg,,20159560
30,poc,154.0,20159560
30,campaign,6589.0,20159560
30,struggl,6427.0,20159560
30,captur,552.0,20159560
30,war,3535.0,20159560
30,ceasefir,10.0,20159560
30,fighter,349.0,20159560
