week,words,frequency,total_words
16,black,11420.0,20087438
16,conflict,913.0,20087438
16,bleach,1120.0,20087438
16,armor,29.0,20087438
16,besieg,16.0,20087438
16,artilleri,6.0,20087438
16,overcount,273.0,20087438
16,conquest,2.0,20087438
16,disarma,6.0,20087438
16,invas,286.0,20087438
16,arsenal,54.0,20087438
16,fire,5449.0,20087438
16,gunfight,19.0,20087438
16,frontlin,6383.0,20087438
16,liber,4136.0,20087438
16,africa,1536.0,20087438
16,militari,2604.0,20087438
16,escal,322.0,20087438
16,crusad,38.0,20087438
16,grenad,10.0,20087438
16,overblown,184.0,20087438
16,armament,1.0,20087438
16,battl,5245.0,20087438
16,won,,20087438
16,destruct,1339.0,20087438
16,flank,11.0,20087438
16,enemi,1908.0,20087438
16,trench,31.0,20087438
16,crossfir,8.0,20087438
16,arm,2590.0,20087438
16,bomb,525.0,20087438
16,fortifi,25.0,20087438
16,salvo,5.0,20087438
16,truce,54.0,20087438
16,retreat,135.0,20087438
16,alli,1215.0,20087438
16,fought,582.0,20087438
16,insurg,14.0,20087438
16,mandatori,869.0,20087438
16,unitedfront,,20087438
16,win,4636.0,20087438
16,defend,3115.0,20087438
16,defens,1719.0,20087438
16,sieg,223.0,20087438
16,battleground,175.0,20087438
16,gun,3596.0,20087438
16,dioxid,128.0,20087438
16,peac,1416.0,20087438
16,attack,9580.0,20087438
16,soldier,621.0,20087438
16,combat,6485.0,20087438
16,violenc,1583.0,20087438
16,battleplan,,20087438
16,foe,108.0,20087438
16,fight,22668.0,20087438
16,troop,187.0,20087438
16,front,4872.0,20087438
16,bloodsh,1.0,20087438
16,allianc,402.0,20087438
16,microchip,581.0,20087438
16,flu,13136.0,20087438
16,invad,357.0,20087438
16,hostil,205.0,20087438
16,gate,6901.0,20087438
16,die,55953.0,20087438
16,unreport,54.0,20087438
16,defeat,2350.0,20087438
16,rebellion,101.0,20087438
16,command,447.0,20087438
16,strategi,5252.0,20087438
16,homeland,241.0,20087438
16,casualti,1007.0,20087438
16,armi,1008.0,20087438
16,chip,,20087438
16,african,1638.0,20087438
16,treati,124.0,20087438
16,warrior,1227.0,20087438
16,beat,3928.0,20087438
16,electromagnet,6.0,20087438
16,lab,4935.0,20087438
16,shoot,1126.0,20087438
16,riot,273.0,20087438
16,guard,1657.0,20087438
16,conquer,272.0,20087438
16,tactic,2710.0,20087438
16,5g,560.0,20087438
16,resist,1847.0,20087438
16,guerrilla,1.0,20087438
16,peacetim,21.0,20087438
16,raider,20.0,20087438
16,threat,6544.0,20087438
16,ammunit,29.0,20087438
16,weapon,1331.0,20087438
16,warfar,112.0,20087438
16,tank,566.0,20087438
16,implant,98.0,20087438
16,minefield,10.0,20087438
16,warzon,13.0,20087438
16,battlefield,92.0,20087438
16,victori,1684.0,20087438
16,bombard,47.0,20087438
16,antibiot,130.0,20087438
16,killer,766.0,20087438
16,upris,26.0,20087438
16,wartim,151.0,20087438
16,holocaust,126.0,20087438
16,vanquish,24.0,20087438
16,battlefront,,20087438
16,target,2870.0,20087438
16,radiat,109.0,20087438
16,melanin,2.0,20087438
16,death,108113.0,20087438
16,homefront,2.0,20087438
16,hoax,6035.0,20087438
16,chlorin,60.0,20087438
16,kill,19795.0,20087438
16,blitzkrieg,9.0,20087438
16,poc,155.0,20087438
16,campaign,8850.0,20087438
16,struggl,4440.0,20087438
16,captur,558.0,20087438
16,war,7666.0,20087438
16,ceasefir,379.0,20087438
16,fighter,1497.0,20087438
