week,words,frequency,total_words
14,black,11633.0,20189123
14,conflict,1216.0,20189123
14,bleach,12502.0,20189123
14,armor,29.0,20189123
14,besieg,16.0,20189123
14,artilleri,6.0,20189123
14,overcount,31.0,20189123
14,conquest,3.0,20189123
14,disarma,6.0,20189123
14,invas,439.0,20189123
14,arsenal,157.0,20189123
14,fire,6339.0,20189123
14,gunfight,2.0,20189123
14,frontlin,7307.0,20189123
14,liber,3069.0,20189123
14,africa,1906.0,20189123
14,militari,2739.0,20189123
14,escal,263.0,20189123
14,crusad,34.0,20189123
14,grenad,8.0,20189123
14,overblown,786.0,20189123
14,armament,1.0,20189123
14,battl,4619.0,20189123
14,won,,20189123
14,destruct,1454.0,20189123
14,flank,13.0,20189123
14,enemi,2651.0,20189123
14,trench,232.0,20189123
14,crossfir,96.0,20189123
14,arm,1926.0,20189123
14,bomb,576.0,20189123
14,fortifi,28.0,20189123
14,salvo,4.0,20189123
14,truce,24.0,20189123
14,retreat,140.0,20189123
14,alli,1026.0,20189123
14,fought,1178.0,20189123
14,insurg,27.0,20189123
14,mandatori,2058.0,20189123
14,unitedfront,,20189123
14,win,4929.0,20189123
14,defend,3071.0,20189123
14,defens,3115.0,20189123
14,sieg,197.0,20189123
14,battleground,81.0,20189123
14,gun,2943.0,20189123
14,dioxid,1001.0,20189123
14,peac,2067.0,20189123
14,attack,10055.0,20189123
14,soldier,1138.0,20189123
14,combat,5984.0,20189123
14,violenc,1913.0,20189123
14,battleplan,,20189123
14,foe,125.0,20189123
14,fight,29397.0,20189123
14,troop,1128.0,20189123
14,front,8226.0,20189123
14,bloodsh,1.0,20189123
14,allianc,323.0,20189123
14,microchip,566.0,20189123
14,flu,19284.0,20189123
14,invad,236.0,20189123
14,hostil,290.0,20189123
14,gate,5267.0,20189123
14,die,57954.0,20189123
14,unreport,64.0,20189123
14,defeat,2586.0,20189123
14,rebellion,838.0,20189123
14,command,1669.0,20189123
14,strategi,5127.0,20189123
14,homeland,621.0,20189123
14,casualti,1433.0,20189123
14,armi,1193.0,20189123
14,chip,,20189123
14,african,2565.0,20189123
14,treati,15.0,20189123
14,warrior,342.0,20189123
14,beat,3491.0,20189123
14,electromagnet,14.0,20189123
14,lab,11136.0,20189123
14,shoot,781.0,20189123
14,riot,185.0,20189123
14,guard,1734.0,20189123
14,conquer,176.0,20189123
14,tactic,526.0,20189123
14,5g,785.0,20189123
14,resist,1719.0,20189123
14,guerrilla,3.0,20189123
14,peacetim,31.0,20189123
14,raider,20.0,20189123
14,threat,7277.0,20189123
14,ammunit,189.0,20189123
14,weapon,1364.0,20189123
14,warfar,197.0,20189123
14,tank,1196.0,20189123
14,implant,34.0,20189123
14,minefield,6.0,20189123
14,warzon,30.0,20189123
14,battlefield,36.0,20189123
14,victori,1305.0,20189123
14,bombard,42.0,20189123
14,antibiot,193.0,20189123
14,killer,1309.0,20189123
14,upris,147.0,20189123
14,wartim,290.0,20189123
14,holocaust,216.0,20189123
14,vanquish,87.0,20189123
14,battlefront,4.0,20189123
14,target,3150.0,20189123
14,radiat,240.0,20189123
14,melanin,15.0,20189123
14,death,107935.0,20189123
14,homefront,3.0,20189123
14,hoax,13396.0,20189123
14,chlorin,887.0,20189123
14,kill,28321.0,20189123
14,blitzkrieg,1.0,20189123
14,poc,143.0,20189123
14,campaign,7823.0,20189123
14,struggl,6080.0,20189123
14,captur,590.0,20189123
14,war,12265.0,20189123
14,ceasefir,74.0,20189123
14,fighter,378.0,20189123
