week,words,frequency,total_words
15,black,9652.0,20319463
15,conflict,1364.0,20319463
15,bleach,1402.0,20319463
15,armor,182.0,20319463
15,besieg,32.0,20319463
15,artilleri,9.0,20319463
15,overcount,57.0,20319463
15,conquest,12.0,20319463
15,disarma,12.0,20319463
15,invas,354.0,20319463
15,arsenal,76.0,20319463
15,fire,6603.0,20319463
15,gunfight,1.0,20319463
15,frontlin,10916.0,20319463
15,liber,3419.0,20319463
15,africa,1815.0,20319463
15,militari,3251.0,20319463
15,escal,327.0,20319463
15,crusad,25.0,20319463
15,grenad,6.0,20319463
15,overblown,865.0,20319463
15,armament,1.0,20319463
15,battl,5631.0,20319463
15,won,,20319463
15,destruct,1265.0,20319463
15,flank,326.0,20319463
15,enemi,2730.0,20319463
15,trench,42.0,20319463
15,crossfir,6.0,20319463
15,arm,4177.0,20319463
15,bomb,1281.0,20319463
15,fortifi,12.0,20319463
15,salvo,2.0,20319463
15,truce,12.0,20319463
15,retreat,108.0,20319463
15,alli,1750.0,20319463
15,fought,475.0,20319463
15,insurg,82.0,20319463
15,mandatori,1324.0,20319463
15,unitedfront,,20319463
15,win,4866.0,20319463
15,defend,2301.0,20319463
15,defens,2022.0,20319463
15,sieg,44.0,20319463
15,battleground,123.0,20319463
15,gun,3774.0,20319463
15,dioxid,202.0,20319463
15,peac,1945.0,20319463
15,attack,7361.0,20319463
15,soldier,615.0,20319463
15,combat,5588.0,20319463
15,violenc,2415.0,20319463
15,battleplan,,20319463
15,foe,105.0,20319463
15,fight,25074.0,20319463
15,troop,849.0,20319463
15,front,11945.0,20319463
15,bloodsh,5.0,20319463
15,allianc,638.0,20319463
15,microchip,422.0,20319463
15,flu,12395.0,20319463
15,invad,541.0,20319463
15,hostil,508.0,20319463
15,gate,4683.0,20319463
15,die,50672.0,20319463
15,unreport,75.0,20319463
15,defeat,2550.0,20319463
15,rebellion,78.0,20319463
15,command,698.0,20319463
15,strategi,4739.0,20319463
15,homeland,297.0,20319463
15,casualti,838.0,20319463
15,armi,1056.0,20319463
15,chip,,20319463
15,african,2089.0,20319463
15,treati,48.0,20319463
15,warrior,1334.0,20319463
15,beat,3275.0,20319463
15,electromagnet,6.0,20319463
15,lab,16968.0,20319463
15,shoot,1505.0,20319463
15,riot,376.0,20319463
15,guard,2699.0,20319463
15,conquer,172.0,20319463
15,tactic,911.0,20319463
15,5g,839.0,20319463
15,resist,2379.0,20319463
15,guerrilla,1.0,20319463
15,peacetim,5.0,20319463
15,raider,25.0,20319463
15,threat,7616.0,20319463
15,ammunit,142.0,20319463
15,weapon,1527.0,20319463
15,warfar,617.0,20319463
15,tank,463.0,20319463
15,implant,72.0,20319463
15,minefield,20.0,20319463
15,warzon,39.0,20319463
15,battlefield,43.0,20319463
15,victori,1510.0,20319463
15,bombard,49.0,20319463
15,antibiot,161.0,20319463
15,killer,1265.0,20319463
15,upris,28.0,20319463
15,wartim,218.0,20319463
15,holocaust,183.0,20319463
15,vanquish,214.0,20319463
15,battlefront,8.0,20319463
15,target,3661.0,20319463
15,radiat,90.0,20319463
15,melanin,12.0,20319463
15,death,131295.0,20319463
15,homefront,6.0,20319463
15,hoax,6851.0,20319463
15,chlorin,164.0,20319463
15,kill,15290.0,20319463
15,blitzkrieg,2.0,20319463
15,poc,174.0,20319463
15,campaign,5109.0,20319463
15,struggl,4622.0,20319463
15,captur,487.0,20319463
15,war,6905.0,20319463
15,ceasefir,56.0,20319463
15,fighter,462.0,20319463
