week,words,frequency,total_words
6,black,2454.0,23489348
6,conflict,274.0,23489348
6,bleach,501.0,23489348
6,armor,12.0,23489348
6,besieg,6.0,23489348
6,artilleri,7.0,23489348
6,overcount,,23489348
6,conquest,2.0,23489348
6,disarma,2.0,23489348
6,invas,1677.0,23489348
6,arsenal,26.0,23489348
6,fire,5979.0,23489348
6,gunfight,,23489348
6,frontlin,825.0,23489348
6,liber,6506.0,23489348
6,africa,1508.0,23489348
6,militari,2385.0,23489348
6,escal,1150.0,23489348
6,crusad,14.0,23489348
6,grenad,4.0,23489348
6,overblown,210.0,23489348
6,armament,,23489348
6,battl,2756.0,23489348
6,won,3.0,23489348
6,destruct,975.0,23489348
6,flank,10.0,23489348
6,enemi,1553.0,23489348
6,trench,11.0,23489348
6,crossfir,3.0,23489348
6,arm,2144.0,23489348
6,bomb,414.0,23489348
6,fortifi,19.0,23489348
6,salvo,,23489348
6,truce,13.0,23489348
6,retreat,155.0,23489348
6,alli,331.0,23489348
6,fought,352.0,23489348
6,insurg,1.0,23489348
6,mandatori,1738.0,23489348
6,unitedfront,,23489348
6,win,3689.0,23489348
6,defend,2724.0,23489348
6,defens,2903.0,23489348
6,sieg,15.0,23489348
6,battleground,12.0,23489348
6,gun,1126.0,23489348
6,dioxid,401.0,23489348
6,peac,929.0,23489348
6,attack,7986.0,23489348
6,soldier,1087.0,23489348
6,combat,17709.0,23489348
6,violenc,689.0,23489348
6,battleplan,1.0,23489348
6,foe,111.0,23489348
6,fight,25710.0,23489348
6,troop,1093.0,23489348
6,front,3099.0,23489348
6,bloodsh,4.0,23489348
6,allianc,127.0,23489348
6,microchip,252.0,23489348
6,flu,57824.0,23489348
6,invad,459.0,23489348
6,hostil,691.0,23489348
6,gate,2263.0,23489348
6,die,57425.0,23489348
6,unreport,83.0,23489348
6,defeat,1281.0,23489348
6,rebellion,1.0,23489348
6,command,2277.0,23489348
6,strategi,2354.0,23489348
6,homeland,794.0,23489348
6,casualti,239.0,23489348
6,armi,3529.0,23489348
6,chip,,23489348
6,african,686.0,23489348
6,treati,24.0,23489348
6,warrior,95.0,23489348
6,beat,1840.0,23489348
6,electromagnet,5.0,23489348
6,lab,12439.0,23489348
6,shoot,1435.0,23489348
6,riot,291.0,23489348
6,guard,976.0,23489348
6,conquer,60.0,23489348
6,tactic,1811.0,23489348
6,5g,729.0,23489348
6,resist,3147.0,23489348
6,guerrilla,,23489348
6,peacetim,392.0,23489348
6,raider,5.0,23489348
6,threat,16006.0,23489348
6,ammunit,50.0,23489348
6,weapon,7502.0,23489348
6,warfar,285.0,23489348
6,tank,1922.0,23489348
6,implant,7.0,23489348
6,minefield,7.0,23489348
6,warzon,2.0,23489348
6,battlefield,54.0,23489348
6,victori,539.0,23489348
6,bombard,29.0,23489348
6,antibiot,590.0,23489348
6,killer,348.0,23489348
6,upris,14.0,23489348
6,wartim,25.0,23489348
6,holocaust,194.0,23489348
6,vanquish,5.0,23489348
6,battlefront,1.0,23489348
6,target,2009.0,23489348
6,radiat,69.0,23489348
6,melanin,17.0,23489348
6,death,77161.0,23489348
6,homefront,2.0,23489348
6,hoax,57578.0,23489348
6,chlorin,90.0,23489348
6,kill,28759.0,23489348
6,blitzkrieg,14.0,23489348
6,poc,34.0,23489348
6,campaign,6457.0,23489348
6,struggl,963.0,23489348
6,captur,198.0,23489348
6,war,3657.0,23489348
6,ceasefir,2.0,23489348
6,fighter,245.0,23489348
