0,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
homefront,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
battl,covid19,0.5689893141388893,0.5383142903447151,0.5958721488714218,0.6201700568199158,0.5871665328741074,0.4650573171675205,0.41832200437784195,0.45742278918623924,0.4456591010093689,0.43524402379989624,0.504641025327146,0.5093861417844892,0.4472358301281929,0.42428259551525116,0.5168795324862003,0.41661620885133743,0.4599994793534279,0.5135513367131352,0.4983174707740545,0.4928114078938961,0.5273971036076546,0.553428690880537,0.46722372248768806,0.5548656582832336,9.0,0.6388202011585236,9.0,0.7392396926879883,0.6230336353182793,0.6479760855436325,9.0,9.0,9.0,9.0,0.678962379693985,0.7635172307491302,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.8221884071826935,9.0,9.0
militari,covid19,0.46664809063076973,0.5221774689853191,0.538805540651083,0.609068363904953,0.5779498368501663,0.46916504204273224,0.5324550122022629,0.5488936901092529,0.4958170186728239,0.4816196672618389,0.5176254883408546,0.5160806402564049,0.48849855922162533,0.5773740038275719,0.4855265859514475,0.5850897952914238,0.5191818829625845,0.503367343917489,0.48999831825494766,0.47453719191253185,0.49020878691226244,0.4831519816070795,0.5746347606182098,0.6531157344579697,9.0,0.6243481859564781,9.0,9.0,9.0,9.0,9.0,9.0,0.7102367579936981,9.0,9.0,9.0,0.6432380974292755,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.7568992376327515,9.0,9.0,9.0,9.0
won,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
besieg,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
hostil,covid19,9.0,9.0,9.0,9.0,9.0,9.0,0.4996395856142044,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
battleground,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
upris,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
arsenal,covid19,9.0,9.0,9.0,9.0,9.0,9.0,0.47813405096530914,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
death,covid19,0.5237073376774788,0.48668860364705324,0.5333796590566635,0.5438371524214745,0.5463998094201088,0.5349541716277599,0.5897835344076157,0.49815087392926216,0.47671809047460556,0.48719105683267117,0.5409534573554993,0.5717016160488129,0.5243778899312019,0.5074623934924603,0.5412860959768295,0.5526178181171417,0.544224351644516,0.5219644196331501,0.5654470548033714,0.5343191511929035,0.5149244591593742,0.5417663902044296,0.5404569208621979,0.6966177672147751,0.7005055993795395,0.6044916361570358,0.5854987353086472,0.7156185507774353,0.6040472090244293,0.6131548807024956,0.5604296922683716,0.6447026431560516,0.6815109252929688,0.4665366820991039,0.7058297395706177,0.6972498744726181,0.533287338912487,0.6609859764575958,0.7375920563936234,0.5966116189956665,0.7594529092311859,0.87150439620018,0.7864020466804504,0.8161584734916687,0.7038885056972504,0.7806963324546814,0.8333680331707001,0.8995193839073181,0.9191463589668274,0.8884555101394653,0.8323789238929749,0.9021278619766235
crossfir,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
defend,covid19,9.0,9.0,9.0,9.0,9.0,0.5110943727195263,0.5624763928353786,0.4762754626572132,0.4682389125227928,0.48568909615278244,0.4385998174548149,0.45157063752412796,0.4763911720365286,0.5159381926059723,0.5248414762318134,0.49312875885516405,0.4818832091987133,0.4464137405157089,9.0,9.0,0.45811400935053825,0.47036088071763515,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.796552449464798,9.0,9.0
arm,covid19,9.0,0.5711468383669853,9.0,9.0,9.0,0.4939923342317343,0.4642658457159996,9.0,0.5525689125061035,0.5051923245191574,0.48849448561668396,0.44896964728832245,0.5250119213014841,0.5199699643999338,0.5380408391356468,0.4817480370402336,0.4998111929744482,0.5312900766730309,0.49878945015370846,0.518454410135746,9.0,9.0,9.0,9.0,9.0,0.5630870833992958,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.6349234282970428,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.9168006777763367,0.77654629945755
battlefront,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
captur,covid19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.5966605469584465,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.49130929075181484,9.0,0.585574671626091,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
guard,covid19,9.0,9.0,9.0,9.0,9.0,9.0,0.5007051564753056,0.4381175935268402,0.4929367662407458,0.45342712104320526,0.544767826795578,0.5469234883785248,9.0,0.507785682566464,0.5051617734134197,9.0,0.47912683710455894,0.5075164088048041,0.47469496354460716,0.5828458815813065,0.46299921721220016,9.0,0.5266268849372864,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
