keyword,before,after
"['black', 'genocide']",0.100568413734436,0.152859568595886
"['black', 'immune']",0.099620595574379,0.161601513624191
"['black', 'immunity']",0.071280352771282,0.03021252900362
"['black', 'inoculated']",9,-0.009113678708673
"['black', 'depopulate']",0.037050064653158,-0.077257476747036
"['black', 'depopulation']",0.147291630506516,-0.051921743899584
"['black', 'vitamin']",0.049846310168505,0.06412049382925
"['black', 'vit']",0.053919084370136,0.044056624174118
"['black', 'zinc']",0.006047640927136,-0.075043298304081
"['black', 'supplements']",0.036878921091557,0.027995282784104
"['black', 'garlic']",0.105514034628868,0.08870056271553
"['black', 'water']",-0.008001871407032,0.103160247206688
"['black', 'colloid']",9,9
"['black', 'vaccine']",-0.036734603345394,-0.053517185151577
"['black', 'vaccinate']",0.125779241323471,0.021932192146778
"['black', 'vaccination']",0.030394583940506,-0.047397501766682
"['africa', 'genocide']",0.133305221796036,0.028137467801571
"['africa', 'immune']",0.13642293214798,0.037907905876637
"['africa', 'immunity']",0.043160155415535,0.047070972621441
"['africa', 'inoculated']",9,0.026363618671894
"['africa', 'depopulate']",0.119686543941498,0.067360386252403
"['africa', 'depopulation']",0.009676441550255,0.097029700875282
"['africa', 'vitamin']",-0.041206680238247,0.051464818418026
"['africa', 'vit']",0.057380318641663,-0.039755642414093
"['africa', 'zinc']",-0.007285982370377,-0.016616616398096
"['africa', 'supplements']",0.027742985635996,0.0553869754076
"['africa', 'garlic']",-0.035747066140175,0.10682238638401
"['africa', 'water']",-0.035266976803541,0.022101789712906
"['africa', 'colloid']",9,9
"['africa', 'vaccine']",0.032484602183104,0.182912349700928
"['africa', 'vaccinate']",0.036922015249729,0.137410521507263
"['africa', 'vaccination']",-0.014890028163791,0.24725615978241
"['african', 'genocide']",0.149737522006035,0.080342076718807
"['african', 'immune']",0.064380347728729,0.09612862765789
"['african', 'immunity']",0.019242137670517,-0.018378108739853
"['african', 'inoculated']",9,-0.057294338941574
"['african', 'depopulate']",0.079051584005356,-0.075060315430164
"['african', 'depopulation']",-0.066689312458038,-0.082294568419457
"['african', 'vitamin']",-0.001432865858078,0.056298468261957
"['african', 'vit']",-0.024697281420231,-0.051487844437361
"['african', 'zinc']",-0.030806101858616,-0.031092869117856
"['african', 'supplements']",-0.061717592179775,0.022506188601256
"['african', 'garlic']",-0.021693289279938,0.009445893578231
"['african', 'water']",-0.037791036069393,0.024495221674442
"['african', 'colloid']",9,9
"['african', 'vaccine']",-0.036012783646584,-0.052975077182055
"['african', 'vaccinate']",0.132846266031265,-0.012764673680067
"['african', 'vaccination']",0.099173299968243,-0.000848824158311
"['melanin', 'genocide']",0.106808245182037,0.048540402203798
"['melanin', 'immune']",0.243538469076157,0.179202184081078
"['melanin', 'immunity']",0.156536102294922,0.04149916768074
"['melanin', 'inoculated']",9,0.079375520348549
"['melanin', 'depopulate']",0.091574013233185,0.040669914335013
"['melanin', 'depopulation']",0.033208072185516,0.099313236773014
"['melanin', 'vitamin']",0.056323252618313,0.201858043670654
"['melanin', 'vit']",0.044447235763073,0.220383822917938
"['melanin', 'zinc']",0.018942326307297,0.035478942096233
"['melanin', 'supplements']",0.046690694987774,0.2613645195961
"['melanin', 'garlic']",0.101612664759159,0.208820462226868
"['melanin', 'water']",0.092626996338368,0.131643950939178
"['melanin', 'colloid']",9,9
"['melanin', 'vaccine']",0.150152325630188,-0.040827699005604
"['melanin', 'vaccinate']",-0.01292094308883,0.046991549432278
"['melanin', 'vaccination']",0.009755965322256,0.136505722999573
"['poc', 'genocide']",0.089227348566055,0.150280401110649
"['poc', 'immune']",0.02105325832963,0.166097372770309
"['poc', 'immunity']",0.087010599672794,0.034238964319229
"['poc', 'inoculated']",9,-0.019111145287752
"['poc', 'depopulate']",-0.074857406318188,-0.048818469047546
"['poc', 'depopulation']",0.08282333612442,-0.080740034580231
"['poc', 'vitamin']",-0.060671053826809,0.103123009204865
"['poc', 'vit']",0.062609702348709,0.153355270624161
"['poc', 'zinc']",-0.029447808861733,-0.041980244219303
"['poc', 'supplements']",0.078423641622067,0.107393980026245
"['poc', 'garlic']",0.063089288771153,-0.02644338272512
"['poc', 'water']",-0.010868119075894,0.061828270554543
"['poc', 'colloid']",9,9
"['poc', 'vaccine']",-0.132947534322739,0.031653463840485
"['poc', 'vaccinate']",0.095786839723587,0.049194425344467
"['poc', 'vaccination']",0.052539095282555,0.130569219589233
,,
mandatory vaccine ,0.0200378,0.05289885
mandatory vaccination,0.0354999,0.29937336
overcount  death,9,0.01849166
dioxide mask,-0.02947794,0.09199733
lab china,0.094056,0.26618463
laboratory china,0.06364366,0.16679214
weapon china,0.08752884,0.23742622
warfare china,0.10085626,0.17183682
