0,1,0
fight,5g,0.4774229302487444
fight,militari,0.5379119611148221
fight,weapon,0.578923135874972
fight,lysol,0.48667477267624165
fight,frontlin,0.6383013535434237
fight,wartim,0.534442258947529
fight,electromagnet,0.5054278193662564
fight,front,0.5662770377530251
fight,hydroxychloroquin,0.5114194723638765
fight,disinfect,0.5014742547959591
fight,battl,0.7419158174441411
fight,warzon,0.5013948434950888
fight,radiat,0.4975099357330831
fight,chlorin,0.4930945596266115
fight,warrior,0.576383458842219
fight,warfar,0.5327549951672643
fight,fighter,0.5671387935916965
fight,attack,0.5653397850412427
fight,bleach,0.4836190104542766
fight,gun,0.49299270432227504
fight,war,0.5843497024526676
fight,battleground,0.5081801755536024
fight,silver,0.4911381760209154
fight,dryer,0.47769084061984335
fight,militar,0.5469443479483511
fight,militarili,0.517129514645785
fight,defenc,0.5426850033019526
fight,defens,0.5656357170082629
fight,combat,0.7331603785546926
fight,target,0.5273952413319001
fight,defend,0.5715865016592523
fight,covid19,0.3710820980083484
5g,militari,0.5419837049871253
5g,weapon,0.5955320335208223
5g,lysol,0.5912199543482319
5g,frontlin,0.4566448962387557
5g,wartim,0.49392976715462283
5g,electromagnet,0.6195807030114034
5g,front,0.48835667121994236
5g,hydroxychloroquin,0.5275323320417962
5g,disinfect,0.5893244508188218
5g,battl,0.4462323169192622
5g,warzon,0.5661637208088197
5g,radiat,0.6357482362252015
5g,chlorin,0.5821625372998163
5g,warrior,0.49553056435140136
5g,warfar,0.6183299304236873
5g,fighter,0.5199921621376864
5g,attack,0.5362316547073603
5g,bleach,0.5773399488534778
5g,gun,0.5402042096113571
5g,war,0.5257629463348377
5g,battleground,0.4796396904604752
5g,silver,0.5535931594584746
5g,dryer,0.5719331052500709
5g,militar,0.5516650861827657
5g,militarili,0.5186027419753373
5g,defenc,0.5506672568646116
5g,defens,0.5319376156985527
5g,combat,0.503848356315687
5g,target,0.5690165129266321
5g,defend,0.4667901995674653
5g,covid19,0.5519806612238216
militari,weapon,0.6103595428598615
militari,lysol,0.5040094136806706
militari,frontlin,0.5550492167240009
militari,wartim,0.5636103065451608
militari,electromagnet,0.5254616462237512
militari,front,0.5369554750392965
militari,hydroxychloroquin,0.5045919863239644
militari,disinfect,0.5351666712511081
militari,battl,0.5231244150714841
militari,warzon,0.5132530664915167
militari,radiat,0.5096477603880115
militari,chlorin,0.5112391832993705
militari,warrior,0.5517694353520011
militari,warfar,0.5942504524002568
militari,fighter,0.573539297365082
militari,attack,0.5507800560869958
militari,bleach,0.5138904552888841
militari,gun,0.5386809920354818
militari,war,0.6135269593662367
militari,battleground,0.4924358929780757
militari,silver,0.48795148212677586
militari,dryer,0.5080669648127585
militari,militar,0.6000718138913842
militari,militarili,0.5617270544171333
militari,defenc,0.6011255349126609
militari,defens,0.6269113500244342
militari,combat,0.5529080341646198
militari,target,0.5344338590422502
militari,defend,0.5503150951497866
militari,covid19,0.504376335607958
weapon,lysol,0.5593375683305427
weapon,frontlin,0.48074957849726513
weapon,wartim,0.5573783861479024
weapon,electromagnet,0.570086439140141
weapon,front,0.48864857138967355
weapon,hydroxychloroquin,0.5446068517085997
weapon,disinfect,0.5659218548232905
weapon,battl,0.529282069979952
weapon,warzon,0.525212005543128
weapon,radiat,0.5629117334834658
weapon,chlorin,0.5651032060003754
weapon,warrior,0.5249439406280334
weapon,warfar,0.7056719329423056
weapon,fighter,0.5511866469840663
weapon,attack,0.625164356118498
weapon,bleach,0.5577865136572375
weapon,gun,0.5786956410246114
weapon,war,0.6241102861956909
weapon,battleground,0.5178765803929823
weapon,silver,0.5133933774923207
weapon,dryer,0.5363248482903057
weapon,militar,0.5924854603437508
weapon,militarili,0.5564885607309407
weapon,defenc,0.5716987571929797
weapon,defens,0.5843493960296305
weapon,combat,0.5766901864867228
weapon,target,0.5681841444098749
weapon,defend,0.57501333566884
weapon,covid19,0.45289918462871215
lysol,frontlin,0.4791772143597392
lysol,wartim,0.5104736098978901
lysol,electromagnet,0.5334755217966934
lysol,front,0.5124584015530462
lysol,hydroxychloroquin,0.5721405780913823
lysol,disinfect,0.7288438909902022
lysol,battl,0.4543835369583506
lysol,warzon,0.5486792435565602
lysol,radiat,0.5973769791363828
lysol,chlorin,0.6479061411651359
lysol,warrior,0.5189246897845385
lysol,warfar,0.5392447241510336
lysol,fighter,0.5366115859158946
lysol,attack,0.49961572080120764
lysol,bleach,0.7262264805344435
lysol,gun,0.5693008171667595
lysol,war,0.5110510854686324
lysol,battleground,0.4663105967983543
lysol,silver,0.5604048272496305
lysol,dryer,0.648906428912064
lysol,militar,0.5021213942803096
lysol,militarili,0.47039031086023897
lysol,defenc,0.5095899530625991
lysol,defens,0.5340062290913641
lysol,combat,0.4824513689661846
lysol,target,0.5137566671972029
lysol,defend,0.48074601175134235
lysol,covid19,0.5063230404227327
frontlin,wartim,0.5195346218172926
frontlin,electromagnet,0.4738730411821355
frontlin,front,0.695615158846172
frontlin,hydroxychloroquin,0.5075601892486373
frontlin,disinfect,0.5061591212825778
frontlin,battl,0.6163407870783255
frontlin,warzon,0.4971382319280464
frontlin,radiat,0.4924730229708635
frontlin,chlorin,0.4699485421588179
frontlin,warrior,0.593259526116666
frontlin,warfar,0.4668237502354224
frontlin,fighter,0.5622751921182498
frontlin,attack,0.4947162054617925
frontlin,bleach,0.4751175262544376
frontlin,gun,0.4904976225673006
frontlin,war,0.5151223243133595
frontlin,battleground,0.4609546600840986
frontlin,silver,0.49379447428397655
frontlin,dryer,0.4665424916495728
frontlin,militar,0.5022564046617419
frontlin,militarili,0.4874524186598137
frontlin,defenc,0.5271143798196974
frontlin,defens,0.5259232162139736
frontlin,combat,0.5603640985970672
frontlin,target,0.4845813959165333
frontlin,defend,0.49974509760124
frontlin,covid19,0.5041157582096415
wartim,electromagnet,0.47614735531775904
wartim,front,0.5199817530141445
wartim,hydroxychloroquin,0.5424488214927766
wartim,disinfect,0.5241661810548977
wartim,battl,0.5407383210357511
wartim,warzon,0.5201208102371311
wartim,radiat,0.5026182431727648
wartim,chlorin,0.5132696538253926
wartim,warrior,0.5295531225111335
wartim,warfar,0.551224086524453
wartim,fighter,0.5261192817101255
wartim,attack,0.5507531417813152
wartim,bleach,0.5387209837249247
wartim,gun,0.510034158709459
wartim,war,0.6046058749780059
wartim,battleground,0.5173878151815087
wartim,silver,0.5131790720415301
wartim,dryer,0.5038276103257042
wartim,militar,0.5288682345113636
wartim,militarili,0.5105562254088
wartim,defenc,0.5361683829827234
wartim,defens,0.5640301351156086
wartim,combat,0.5591066065896303
wartim,target,0.5105195729224943
wartim,defend,0.5515896295104176
